Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Work with GitHub repositories,Repository management,A maintainer wants to know whether traffic increased after a conference talk. Which GitHub area should they inspect?,Repository Insights traffic data,Saved replies,Passkey settings,Branch protection rules,A,Repository Insights can show traffic metrics such as views and clones.
Work with GitHub repositories,Repository management,Why should secrets not be committed even to a private repository?,Private repositories cannot be breached,Git automatically encrypts committed secrets for all users,Secrets are removed from Git history automatically,"They may be exposed through access mistakes, forks, logs, or later visibility changes",D,Committed secrets can persist in history and create security risk.
Work with GitHub repositories,Repository management,"A project is no longer maintained and should be read-only, but still visible for reference. What action fits best?",Convert it to a passkey,Delete all commits,Archive the repository,Remove the README,C,Archiving signals inactive maintenance and usually makes the repository read-only.
Work with GitHub repositories,Repository management,A repository should be easier to find by language and domain. What should be configured?,Saved replies,Repository topics,Organization owners,Passkeys,B,Topics improve classification and discoverability.
Work with GitHub repositories,Repository management,A team wants to track vulnerable or outdated packages. Which area is most relevant?,Dependency insights and dependency alerts,Gists,Profile README,GitHub Pages themes,A,Dependency features help identify and manage dependency-related risks.
Work with GitHub repositories,Repository management,A repository has many stale branches after merges. Why clean them up?,To force all repositories public,To increase Copilot suggestions,To disable branch protection,To reduce clutter and avoid confusion over active work,D,Removing stale branches improves maintainability and clarity.
Work with GitHub repositories,Repository management,A pull request changes a sensitive folder. Reviewers should be auto-requested from the security team. What should be configured?,A repository star,A milestone named security,A CODEOWNERS rule for that path,A public gist,C,CODEOWNERS can automatically request reviews based on file paths.
Collaborate using GitHub,Collaboration tools,A PR fixes issue 42 and should close it automatically when merged. Which PR text is best?,Watch #42,Fixes #42,Star #42,Label #42,B,Closing keywords such as Fixes followed by an issue reference can close linked issues when merged.
Collaborate using GitHub,Collaboration tools,A maintainer wants to find open bugs assigned to Maya in milestone v2. Which search pattern is best?,is:issue is:open label:bug assignee:Maya milestone:v2,type:bug owner:Maya closed:v2,bug:true user:Maya release:v2,is:discussion label:bug star:Maya,A,"GitHub search qualifiers can combine state, type, label, assignee, and milestone."
Collaborate using GitHub,Collaboration tools,A team wants long-running product questions separate from actionable bug reports. Which feature fits best?,CODEOWNERS,Branch protection rules,Passkeys,GitHub Discussions,D,Discussions are better for open-ended conversations and Q&A than task tracking.
Collaborate using GitHub,Collaboration tools,A reviewer leaves comments on specific changed lines in a PR. What is the main purpose?,Generate project insights,Create a passkey,Provide contextual feedback on proposed changes,Change repository visibility,C,Line comments focus review feedback exactly where code changed.
Collaborate using GitHub,Collaboration tools,A contributor is responsible for a bug fix but not reviewing it. Which field communicates ownership?,Star count,Assignee,Repository topic,Milestone only,B,Assignees indicate who is responsible for work.
Collaborate using GitHub,Collaboration tools,"A triage team wants to classify incoming work as bug, enhancement, or documentation. What should they use?",Labels,GitHub Pages,Passkeys,Forks,A,Labels categorize issues and pull requests.
Collaborate using GitHub,Collaboration tools,A maintainer repeats the same explanation on many issues. What feature saves time?,Branch deletion,Enterprise Managed Users,Dependency graph,Saved replies,D,Saved replies are reusable comment templates.
Collaborate using GitHub,Collaboration tools,A user is overwhelmed by updates from a busy repository. What should they adjust?,CODEOWNERS file,Repository license,Notification and watching settings,Default branch name only,C,Notifications and watching settings control how much activity a user receives.
Collaborate using GitHub,Collaboration tools,A project wants public documentation with a custom site generated from the repository. Which feature is appropriate?,GitHub Mobile,GitHub Pages,Issue assignments,Passkeys,B,GitHub Pages hosts static websites from repositories.
Collaborate using GitHub,Collaboration tools,A team wants internal multi-page documentation tied to a repository but not necessarily a public website. Which feature is suitable?,Wiki,Repository star,Branch protection rule,GitHub Sponsor profile,A,Wikis provide repository-associated documentation pages.
Collaborate using GitHub,Collaboration tools,A developer wants to share a short standalone SQL snippet without creating a full repository. What is suitable?,Passkey,Team role,Milestone,Gist,D,Gists are designed for sharing small snippets or notes.
Collaborate using GitHub,Collaboration tools,A PR is open but automated tests are failing. What should usually happen before merge?,Convert the PR to a Wiki,Archive the repository,Fix the failure or investigate before merging,Merge immediately because PRs ignore checks,C,Failing checks should be resolved or intentionally handled before merge.
Apply modern development practices,Automation and AI tools,A workflow must run every time code is pushed to main. Where is this configured?,In a Gist description,In a YAML workflow under .github/workflows,In the profile README only,In the repository star settings,B,GitHub Actions workflows are YAML files commonly stored in .github/workflows.
Apply modern development practices,Automation and AI tools,A workflow has build and test jobs that must run on a machine. What executes those jobs?,Runner,Milestone,Passkey,Repository topic,A,A runner is the environment that executes GitHub Actions jobs.
Apply modern development practices,Automation and AI tools,A team wants tests to run before merging every PR. Which GitHub feature combination is most relevant?,GitHub Mobile with followers,Gists with repository topics,GitHub Sponsors with saved replies,GitHub Actions with required status checks,D,"Actions can run tests, and branch protection can require those checks to pass."
Apply modern development practices,Automation and AI tools,A workflow needs to run manually from GitHub. Which trigger is commonly used?,repo_follow,gist_run,workflow_dispatch,manual_star,C,workflow_dispatch allows manual workflow runs.
Apply modern development practices,Automation and AI tools,A team wants a consistent cloud development environment for every contributor. What should they use?,Only repository stars,Codespaces with dev containers,Issue labels only,GitHub Sponsors,B,Codespaces and dev containers standardize development environments.
Apply modern development practices,Automation and AI tools,"A project requires Node.js, extensions, and setup commands for Codespaces. Which file can define this?",devcontainer.json,LICENSE,SECURITY.md only,CODE_OF_CONDUCT.md,A,devcontainer.json configures the development container environment.
Apply modern development practices,Automation and AI tools,"A developer needs to run a backend server, terminal commands, and tests in the browser environment. Which tool is better?",GitHub Mobile,Repository Insights,github.dev,Codespaces,D,"Codespaces provides compute, terminal, and a full development environment."
Apply modern development practices,Automation and AI tools,A developer only needs to fix a typo in README from the browser. Which tool is lighter?,Codespaces,Enterprise Managed Users,github.dev,GitHub Actions runner,C,github.dev is suitable for lightweight browser-based edits.
Apply modern development practices,Automation and AI tools,Which statement about Copilot suggestions is safest?,They replace pull request review,"They should be reviewed, tested, and adapted to the project context",They are always secure and correct,They automatically define the license,B,AI-generated suggestions can be wrong or unsuitable and need validation.
Apply modern development practices,Automation and AI tools,"A company wants to control Copilot use, policies, and access for employees. Which plan level is more appropriate?",Copilot Business or Enterprise,A repository template,Only anonymous public access,GitHub Pages free hosting,A,Business and Enterprise plans provide organization-level management and policy features.
Apply modern development practices,Automation and AI tools,What is the main value of CI in a pull request workflow?,Publishing a Wiki automatically,Replacing issue labels,Increasing repository star count,Catching integration problems before merge,D,CI validates changes before they enter important branches.
Apply modern development practices,Automation and AI tools,A deployment should happen only after tests pass on the main branch. What practice is being applied?,Profile following,Manual gist sharing,Continuous deployment with gated validation,Repository starring,C,Deployment after passing checks is a common automated release practice.
Manage projects with GitHub,Project Tracking and organization,"A team wants to view work by Todo, In Progress, and Done. Which layout is best?",Passkey layout,Board layout,Sponsor layout,Gist layout,B,Board layouts support column-based status tracking.
Manage projects with GitHub,Project Tracking and organization,"A team needs spreadsheet-like sorting and filtering by priority, status, and owner. Which layout is best?",Table layout,Pages layout,Profile layout,Wiki layout,A,Table views are strong for structured fields and filtering.
Manage projects with GitHub,Project Tracking and organization,A PM wants to track planned work that is not ready to become a repository issue. What can be used?,Required status check,Passkey,Repository license,Draft issue in GitHub Projects,D,Draft issues capture planning items before they become formal issues.
Manage projects with GitHub,Project Tracking and organization,A team wants items to move to Done when linked pull requests merge. What helps?,GitHub Sponsors,Repository stars,Project workflows or automation,Profile followers,C,Project automation can update item status based on events.
Manage projects with GitHub,Project Tracking and organization,"Which field is best for indicating whether work is blocked, in progress, or complete?",Repository visibility,Status,License,Passkey type,B,Status fields track work stage.
Manage projects with GitHub,Project Tracking and organization,Which field is best for representing urgency or importance?,Priority,README,Fork count,Public visibility,A,Priority commonly tracks urgency or importance.
Manage projects with GitHub,Project Tracking and organization,A release manager wants to group issues and PRs for version 3.0. What should be used?,Passkey,Profile README,Gist,Milestone,D,Milestones group issues and PRs toward a release or goal.
Manage projects with GitHub,Project Tracking and organization,A project lead wants to identify bottlenecks and completion trends. Which feature helps?,GitHub Mobile app icon,Repository license,Project insights,Passkey settings,C,Project insights support tracking progress and productivity patterns.
Manage projects with GitHub,Project Tracking and organization,A support team frequently posts the same troubleshooting instructions in issues. Which feature helps?,Branch protection,Saved replies,Template repositories only,Dependency graph,B,Saved replies provide reusable responses for comments.
Manage projects with GitHub,Project Tracking and organization,"Why combine labels, milestones, and assignees in GitHub Projects?","They improve filtering, ownership, and progress tracking",They make every repository public,They replace 2FA,They disable all notifications,A,These metadata fields help organize and manage work.
"Understand privacy, security, and administration",Security and access management,An organization wants to reduce risk from compromised passwords. Which control should it require?,Profile README badges,Public repositories only,Repository stars,Two-factor authentication or passkeys,D,2FA and passkeys strengthen account authentication.
"Understand privacy, security, and administration",Security and access management,A company wants phishing-resistant sign-in. Which option best fits?,Repository topics,Gists,Passkeys,Saved replies,C,Passkeys are designed for phishing-resistant authentication.
"Understand privacy, security, and administration",Security and access management,A developer only needs to triage issues but not administer settings. Which principle should guide access?,Maximum privilege,Least privilege,Shared owner account,Anonymous admin access,B,Least privilege gives users only the access required.
"Understand privacy, security, and administration",Security and access management,A branch must not accept changes unless reviews and checks pass. What should be configured?,Branch protection rules,GitHub Sponsors,Repository topics,Profile README,A,Branch protection can require reviews and passing checks.
"Understand privacy, security, and administration",Security and access management,A repository should be visible only to selected collaborators. Which visibility should be used?,Trending,Public,Sponsored,Private,D,Private repositories restrict visibility.
"Understand privacy, security, and administration",Security and access management,An enterprise wants repositories visible inside the enterprise but not public. Which visibility may apply?,Starred,Public,Internal,Gist-only,C,Internal visibility is used in enterprise contexts for enterprise-scoped access.
"Understand privacy, security, and administration",Security and access management,A user outside the organization needs access to one repository only. What access model is suitable?,Share an admin account,Outside collaborator with limited repository permission,Make the user an organization owner,Make all repositories public,B,Outside collaborators can receive repository-specific access.
"Understand privacy, security, and administration",Security and access management,A large company wants identities controlled by its identity provider rather than personal GitHub accounts. Which feature fits?,Enterprise Managed Users,Repository stars,Public gists,GitHub Pages themes,A,Enterprise Managed Users support centralized identity lifecycle management.
"Understand privacy, security, and administration",Security and access management,Why should admins review inactive users and stale access?,To increase fork count,To create more repository stars,To disable Markdown,To reduce unnecessary permissions and security exposure,D,Access reviews help maintain secure permissions.
"Understand privacy, security, and administration",Security and access management,A security-sensitive branch requires two approvals and passing CI. Which features are involved?,Saved replies and followers,GitHub Sponsors and Gists,"Branch protection, required reviews, and required status checks",Profile README and topics,C,Branch protection can enforce reviews and checks.
"Understand privacy, security, and administration",Security and access management,Which role should be granted carefully because it can broadly administer an organization?,Read-only user,Owner,Triage role,Repository viewer,B,Organization owners have broad administrative power.
"Understand privacy, security, and administration",Security and access management,A company wants to define whether Copilot can be used with organization repositories. Where should this be managed?,Organization or enterprise Copilot policies,GitHub Pages layout,Repository stars,Gist comments,A,Copilot policies can control availability and settings for members.
Explore the GitHub community,Open-source engagement,A user wants to propose a change to a project without write access. What is the common open-source workflow?,Ask for owner access immediately,Create a GitHub Sponsor profile,Edit the default branch directly,Fork the repository and open a pull request,D,Forks allow external contributors to propose changes via pull requests.
Explore the GitHub community,Open-source engagement,A project wants contributors to know how to participate respectfully. Which file helps?,workflow_dispatch.yml,dependabot cache,CODE_OF_CONDUCT.md,Repository star list,C,A code of conduct defines expected community behavior.
Explore the GitHub community,Open-source engagement,A project wants to attract contributors. Which combination is strongest?,"No README, no license, disabled issues","Clear README, license, contribution guide, good first issues, and active maintenance",Only private visibility and no documentation,Archived repository with no contribution path,B,Discoverable documentation and contribution paths help attract contributors.
Explore the GitHub community,Open-source engagement,A maintainer wants financial support for open-source work. Which GitHub feature is relevant?,GitHub Sponsors,Required status checks,Enterprise Managed Users,Branch protection,A,GitHub Sponsors supports funding maintainers.
Explore the GitHub community,Open-source engagement,A company wants teams to collaborate internally using open-source-style transparency and reuse. What is this called?,Public sponsorship,Repository archiving,Passkey management,InnerSource,D,InnerSource applies open-source practices inside an organization.
Explore the GitHub community,Open-source engagement,A user wants updates from an open-source organization’s public activity. What should they do?,Disable notifications globally,Delete their fork,Follow the organization,Become an organization owner,C,Following helps users stay informed about public activity.
Explore the GitHub community,Open-source engagement,A team wants to add a third-party CI helper app or action. Where can they discover integrations?,Profile README,GitHub Marketplace,Passkey settings,Repository traffic page,B,"GitHub Marketplace lists apps, Actions, and workflow integrations."
Explore the GitHub community,Open-source engagement,A developer wants to start a new independent project using another repository’s structure but not contribute back. Which is better?,Use a template repository,Create a security advisory,Fork and open a PR immediately,Enable required reviews,A,Templates are best for starting independent projects from reusable structure.
Explore the GitHub community,Open-source engagement,A developer wants to maintain a connection to the original repository and propose changes upstream. Which is better?,Use only a template,Archive the repository,Create a passkey,Fork the repository,D,Forks preserve relationship to an upstream repository and support pull requests back.
Explore the GitHub community,Open-source engagement,"Why are topics, descriptions, and a good README important for public repositories?",They disable forks,They replace security review,They improve discoverability and help users understand the project,They guarantee funding,C,Metadata and documentation help users find and evaluate projects.
Explore the GitHub community,Open-source engagement,What is the upstream repository in a fork-based workflow?,The repository’s license text,The original repository the fork was created from,The GitHub Marketplace listing,The user’s local clone only,B,The upstream repository is the source project a fork tracks.
Explore the GitHub community,Open-source engagement,Which issue label commonly helps newcomers find approachable contribution tasks?,good first issue,private-token,owner-only,billing-required,A,The good first issue label is commonly used for beginner-friendly tasks.
