Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Version control fundamentals,What is the benefit of distributed version control?,The repository cannot have branches,Each contributor can have a full copy of the repository history locally,Commits are never stored locally,Only one person can work at a time,B,"With Git, developers can work locally with repository history and sync changes with remotes."
Work with GitHub repositories,Repository management,What is the purpose of a README file?,To replace every issue template,To store encrypted passwords,To introduce the project and explain how to use or contribute to it,To define billing limits,C,README files usually provide the main overview and usage instructions for a repository.
Work with GitHub repositories,Repository management,What is the purpose of a LICENSE file?,To store repository secrets,To configure GitHub Mobile,To list all pull request reviewers,"To explain the legal terms for using, modifying, and sharing the project",D,A license tells others what they are allowed to do with the project.
Work with GitHub repositories,Repository management,What does a CONTRIBUTING file usually describe?,"Guidelines for reporting issues, proposing changes, and submitting pull requests",A list of GitHub Sponsors,The number of repository stars,The project password policy only,A,CONTRIBUTING helps standardize how people contribute to a project.
Work with GitHub repositories,Repository management,What is the purpose of a CODEOWNERS file?,To create GitHub Pages themes,To automatically request reviews from responsible people or teams for specific files,To delete unused branches automatically,To define project colors,B,CODEOWNERS maps paths to users or teams responsible for reviewing changes.
Work with GitHub repositories,Repository management,What is a SECURITY file commonly used for?,To enable GitHub Desktop,To change the repository name,To explain how to report security vulnerabilities responsibly,To store plaintext passwords,C,A SECURITY policy explains supported versions and vulnerability reporting instructions.
Work with GitHub repositories,Repository management,What is a repository template useful for?,Disabling Markdown rendering,Changing a public repo to a gist,Preventing all pull requests,Creating new repositories with a predefined structure and files,D,Templates help teams create consistent repositories faster.
Work with GitHub repositories,Repository management,How can files be added to a GitHub repository?,"By uploading in the web UI, committing locally with Git, or using supported editors",Only by sending an email to GitHub,Only through GitHub Sponsors,Only by creating a milestone,A,GitHub supports several ways to add and manage repository files.
Work with GitHub repositories,Repository management,What are repository Insights used for?,Creating passkeys,"Viewing activity, contributors, traffic, forks, and other repository metrics",Replacing code review,Hiding all branch history,B,Insights provide visibility into repository activity and health.
Work with GitHub repositories,Repository management,What does starring a repository usually mean?,The repository is automatically private,All issues are closed,A user bookmarks or shows interest in the repository,The repository is deleted after 30 days,C,Stars are commonly used to bookmark or signal interest in repositories.
Work with GitHub repositories,Repository management,What can dependency insights help identify?,Only repository profile pictures,The author of every comment,Mobile device battery status,Dependencies and potential dependency-related risks or updates,D,Dependency insights help maintain visibility into software dependencies.
Work with GitHub repositories,Repository management,Which practice helps maintain a healthy repository?,"Keeping documentation, issue templates, dependencies, and branches organized",Never reviewing pull requests,Avoiding README files,Committing secrets to simplify setup,A,"Maintenance includes documentation, reviews, branch hygiene, and dependency care."
Collaborate using GitHub,Collaboration tools,What are GitHub Issues primarily used for?,Managing payment cards,"Tracking tasks, bugs, ideas, and discussions about work",Storing compiled binaries only,Creating SSH keys automatically,B,Issues are a common way to track work and conversations.
Collaborate using GitHub,Collaboration tools,What is a pull request used for?,Deleting an organization,Buying GitHub Sponsors memberships,"Proposing, discussing, reviewing, and merging changes",Creating a personal access token only,C,Pull requests are central to code review and collaborative changes.
Collaborate using GitHub,Collaboration tools,What are GitHub Discussions best suited for?,Encrypting branch names,Replacing every commit,Running local unit tests only,"Open-ended conversations, Q&A, announcements, and community discussion",D,Discussions support community-style collaboration outside issue tracking.
Collaborate using GitHub,Collaboration tools,Why link a pull request to an issue?,To connect code changes to tracked work and optionally close the issue when merged,To disable comments,To remove all labels,To make the pull request private,A,Linking PRs and issues improves traceability and project tracking.
Collaborate using GitHub,Collaboration tools,What is the purpose of issue and pull request templates?,To increase repository storage,To guide contributors to provide consistent useful information,To prevent all external contributions,To replace repository permissions,B,Templates standardize information submitted by contributors.
Collaborate using GitHub,Collaboration tools,How can filters help on GitHub issue and pull request lists?,They remove repository history,They compile source code,"They narrow results by state, author, label, milestone, assignee, and other criteria",They create passkeys,C,Filters help users quickly find relevant work items.
Collaborate using GitHub,Collaboration tools,What does assigning someone to an issue or pull request indicate?,That the repository is archived,That all notifications are disabled,That the person owns GitHub,That the person is responsible for or involved in the work,D,Assignees clarify responsibility.
Collaborate using GitHub,Collaboration tools,What are notifications used for?,Keeping users informed about repository activity and conversations that matter to them,Deleting completed milestones,Replacing repository roles,Automatically writing README files,A,Notifications help users manage collaboration activity.
Collaborate using GitHub,Collaboration tools,What is a GitHub Gist commonly used for?,Hosting enterprise policies only,"Sharing code snippets, notes, or small examples",Managing organization billing only,Replacing all repositories,B,Gists are useful for sharing small pieces of content.
Collaborate using GitHub,Collaboration tools,What is a repository Wiki commonly used for?,Running CI pipelines,Creating user passkeys,Maintaining project documentation pages connected to a repository,Storing billing invoices,C,Wikis are used for documentation beyond the README.
Collaborate using GitHub,Collaboration tools,What is GitHub Pages used for?,Managing organization teams only,Creating branch protection rules only,Encrypting all pull requests,Publishing static websites from a repository,D,"GitHub Pages hosts static sites such as documentation, portfolios, and project pages."
Apply modern development practices,Automation and AI tools,What is GitHub Actions used for?,"Automating workflows such as CI, testing, deployment, and repository tasks",Creating organization invoices,Only editing Markdown previews,Replacing Git completely,A,GitHub Actions automates event-driven workflows in repositories.
Apply modern development practices,Automation and AI tools,What is a workflow in GitHub Actions?,A GitHub Sponsors payment,An automated process defined by a YAML file in the repository,A user profile setting,A repository star list,B,Workflows define jobs and steps that run on specific events.
Apply modern development practices,Automation and AI tools,What is GitHub Copilot primarily used for?,Managing branch permissions only,Hosting static websites only,"AI-powered assistance for writing, explaining, and improving code",Replacing all human review permanently,C,Copilot assists developers with code suggestions and related development tasks.
Apply modern development practices,Automation and AI tools,What is Copilot Agent Mode designed to help with?,Managing credit card details,Replacing GitHub Organizations,Deleting all issues automatically,Working more autonomously across coding tasks while still under developer control,D,Agentic Copilot features can help plan and make code changes with user supervision.
Apply modern development practices,Automation and AI tools,What does multi-model support in Copilot generally mean?,Users or organizations may access different AI models for coding assistance depending on availability and policy,GitHub Actions must run on multiple operating systems only,Every repository must contain multiple README files,Every issue must have multiple assignees,A,Multi-model support refers to using different AI models for assisted development.
Apply modern development practices,Automation and AI tools,"What is a key difference between Copilot Individual, Business, and Enterprise plans?",Only the color of the editor changes,"They provide different levels of management, policy, security, and organizational features",Enterprise cannot be used by organizations,Only Individual supports code suggestions,B,Business and Enterprise plans include organization-focused policy and administration capabilities.
Apply modern development practices,Automation and AI tools,What are GitHub Codespaces?,A replacement for all repository issues,A GitHub mobile-only feature,Cloud-hosted development environments connected to repositories,A public discussion forum only,C,Codespaces provides configurable cloud dev environments.
Apply modern development practices,Automation and AI tools,What is a dev container used for?,Writing license terms automatically,Deleting unused organizations,Creating repository stars,"Defining a consistent development environment with tools, settings, and dependencies",D,Dev containers help standardize the environment used in Codespaces or compatible local tooling.
Apply modern development practices,Automation and AI tools,What is github.dev?,A lightweight browser-based editor for quickly editing repository files,A full cloud VM with terminal and compute by default,A billing dashboard,A GitHub Sponsors profile only,A,github.dev opens a repository in a browser editor for lightweight edits.
Apply modern development practices,Automation and AI tools,How does github.dev differ from Codespaces?,Codespaces cannot use repositories,"github.dev is lightweight editing in the browser, while Codespaces provides a full cloud development environment",github.dev requires an enterprise account only,There is no difference,B,"Codespaces includes compute, terminal, extensions, and dev environment configuration."
Manage projects with GitHub,Project Tracking and organization,What is GitHub Projects used for?,Replacing repository licenses,Compiling source code only,"Planning, tracking, and organizing work across issues, pull requests, and custom fields",Creating passkeys,C,Projects helps teams organize and track work.
Manage projects with GitHub,Project Tracking and organization,Which layouts are commonly associated with GitHub Projects?,"Password, token, and SSH-only views","Audio, video, and image-only views","Private, public, and secret-only views","Table, board, and roadmap-style views",D,Projects can show work in different layouts such as table and board views.
Manage projects with GitHub,Project Tracking and organization,What are labels used for?,Categorizing issues and pull requests,Creating personal accounts,Running Codespaces billing,Encrypting repository files,A,Labels help classify and filter work.
Manage projects with GitHub,Project Tracking and organization,What are milestones used for?,Replacing all branches,"Tracking progress toward a larger goal, release, or time-based target",Creating GitHub Pages themes,Changing repository visibility,B,Milestones group issues and pull requests toward a shared objective.
Manage projects with GitHub,Project Tracking and organization,What are project workflows used for?,Deleting all repository stars,Creating SSH keys,"Automating project item behavior, such as status changes or field updates",Publishing package releases only,C,Project workflows can automate organization of tracked work.
Manage projects with GitHub,Project Tracking and organization,What are saved replies useful for?,Changing repository privacy,Automatically merging every pull request,Creating enterprise accounts,Quickly inserting reusable responses in issue or pull request comments,D,Saved replies streamline repetitive communication.
Manage projects with GitHub,Project Tracking and organization,What can project insights help teams understand?,"Progress, workload, trends, and productivity signals",Repository encryption keys,User passwords,Local CPU temperature,A,Insights help teams evaluate project progress and work patterns.
"Understand privacy, security, and administration",Security and access management,What is two-factor authentication used for?,Making a repository public,Adding an extra verification step to protect account sign-in,Running all workflows faster,Creating Markdown tables,B,2FA improves account security by requiring more than a password.
"Understand privacy, security, and administration",Security and access management,What is a passkey?,A repository README template,A GitHub Pages domain only,A phishing-resistant sign-in method based on public-key cryptography,A branch name convention,C,Passkeys provide secure passwordless authentication.
"Understand privacy, security, and administration",Security and access management,Why are repository roles important?,They publish every branch to GitHub Pages,They remove the need for commits,They change the programming language automatically,They control what users can see and do in a repository,D,Roles and permissions manage access and actions in repositories.
"Understand privacy, security, and administration",Security and access management,Which repository visibility option allows anyone on the internet to view the repository?,Public,Secret-only,Internal only,Private,A,Public repositories are visible to everyone.
"Understand privacy, security, and administration",Security and access management,Which repository visibility option limits access to selected people or teams?,Sponsored,Private,Public,Trending,B,Private repositories restrict visibility to authorized users.
"Understand privacy, security, and administration",Security and access management,What is an internal repository typically used for?,Disabling all access controls,Creating anonymous gists only,Sharing code within an enterprise while keeping it hidden from the public,Publishing code to every internet user,C,Internal visibility is commonly available in enterprise contexts for organization-wide collaboration.
"Understand privacy, security, and administration",Security and access management,What do branch protection rules help enforce?,Public visibility for every project,Password rotation for users,Automatic deletion of all repositories,"Required reviews, status checks, and restrictions before changes are merged",D,Branch protection helps protect important branches from unsafe changes.
"Understand privacy, security, and administration",Security and access management,What are Enterprise Managed Users used for?,Centrally managing user identities and access for an enterprise,Letting anonymous users administer repositories,Creating local-only Git commits,Publishing static pages only,A,EMUs help enterprises control user identities and access centrally.
"Understand privacy, security, and administration",Security and access management,What can organization-wide Copilot policy management control?,The color of all Git commits,"Copilot availability, settings, and usage policies for organization members",The number of repository stars,The text of every README automatically,B,Organizations can manage Copilot policy settings for members.
"Understand privacy, security, and administration",Security and access management,What are teams in a GitHub organization used for?,Running mobile push notifications only,Creating public search rankings,"Grouping members to manage permissions, reviews, and collaboration",Encrypting Markdown comments,C,Teams simplify permission and collaboration management.
"Understand privacy, security, and administration",Security and access management,Why should organization settings be reviewed regularly?,To delete all pull requests,To remove all documentation,To make every repository public,"To maintain secure access, policies, member roles, and governance",D,Regular reviews help keep administration and security aligned with current needs.
Explore the GitHub community,Open-source engagement,What is a key benefit of open source?,"People can collaborate, learn, inspect, improve, and reuse software according to its license",Only one person can view the code,All projects must be private,Licenses are never needed,A,Open source enables transparent collaboration and reuse.
Explore the GitHub community,Open-source engagement,What is GitHub Sponsors used for?,Running private unit tests,Financially supporting developers and open-source maintainers,Deleting organization teams,Creating branch protection rules,B,GitHub Sponsors helps fund open-source work.
Explore the GitHub community,Open-source engagement,How does GitHub support open-source projects?,By preventing public repositories,By removing licenses from projects,"By providing collaboration tools such as repositories, issues, pull requests, discussions, and visibility features",By disabling forks,C,GitHub provides infrastructure and collaboration features for open-source communities.
Explore the GitHub community,Open-source engagement,Why follow users or organizations on GitHub?,To close their issues automatically,To make their repositories private,To gain admin access automatically,To stay informed about their public activity and projects,D,Following helps users discover activity from people and organizations they care about.
Explore the GitHub community,Open-source engagement,What is GitHub Marketplace used for?,"Finding apps, Actions, and tools that integrate with GitHub workflows",Creating personal passkeys only,Buying computer hardware only,Replacing all repositories,A,Marketplace helps users discover integrations and automation tools.
Explore the GitHub community,Open-source engagement,What is InnerSource?,Publishing every private repository to the internet,Applying open-source collaboration practices inside an organization,Removing all code review,Using only anonymous contributors,B,InnerSource brings open collaboration patterns to internal software development.
Explore the GitHub community,Open-source engagement,When should a fork be used?,When deleting all repository history,When hiding public code from everyone,When creating a personal copy of a repository to propose or experiment with changes,When creating a billing account,C,Forks allow independent changes and contribution back through pull requests.
Explore the GitHub community,Open-source engagement,When is a repository template useful?,When starring a repository,When reporting a security vulnerability,When enabling two-factor authentication,When starting a new project from a reusable structure,D,Templates help others start similar projects consistently.
Explore the GitHub community,Open-source engagement,What makes a repository more discoverable for collaboration?,"Clear README, topics, license, contribution guidelines, and public visibility when appropriate",Disabling issues and pull requests permanently,Only binary files with no explanation,No documentation and no license,A,Good metadata and documentation help people understand and contribute.
