Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Working with GitHub,Which GitHub option is best for a company managing many teams and repositories?,Single anonymous gist,GitHub Mobile only,Only a personal README,Organization or Enterprise account,D,"Organizations and enterprises provide team, repository, and policy management."
Understand Git and GitHub basics,Working with GitHub,What is a profile README used for?,Displaying information on a user's GitHub profile,Encrypting repository branches,Replacing 2FA,Managing project workflows,A,"A profile README can introduce a user, work, or projects on their profile page."
Work with GitHub repositories,Repository management,Which file usually explains how others can report vulnerabilities?,README.tmp,SECURITY.md,billing.json,stars.csv,B,SECURITY.md usually describes security reporting and support policies.
Work with GitHub repositories,Repository management,Which file usually explains community behavior expectations?,CODEOWNERS,index.html,CODE_OF_CONDUCT.md,package-lock.json,C,A code of conduct defines expected behavior for project participants.
Work with GitHub repositories,Repository management,Why should a repository have a clear README?,To disable repository traffic metrics,To make every branch protected,To automatically approve all pull requests,To help users understand the project quickly,D,"README documentation helps users and contributors understand purpose, setup, and usage."
Work with GitHub repositories,Repository management,What does archiving a repository usually indicate?,The project is read-only or no longer actively maintained,The repository has been starred,The repository became a GitHub Project,The repository can no longer be viewed by admins,A,Archived repositories are generally read-only and signal inactive maintenance.
Work with GitHub repositories,Repository management,What is a repository topic used for?,Disabling Actions,Helping classify and discover repositories by subject,Replacing the LICENSE file,Creating a required reviewer,B,Topics improve repository discovery and organization.
Work with GitHub repositories,Repository management,Why use branches for repository organization?,To store organization billing records,To remove the need for commits,"To separate work for features, fixes, or experiments",To prevent collaboration,C,Branches keep work isolated until it is ready to review and merge.
Work with GitHub repositories,Repository management,What is the benefit of using repository templates?,They remove all issues automatically,They replace organizations,They create passkeys for every member,They standardize new projects and reduce setup time,D,Templates make it easier to create consistent repositories.
Work with GitHub repositories,Repository management,What should you avoid committing to a repository?,Secrets such as passwords or API keys,README files,License files,Source code,A,Secrets should not be committed because they can expose systems or data.
Work with GitHub repositories,Repository management,Which GitHub feature can show who contributed to a repository?,Passkeys,Contributors insights,GitHub Mobile settings,Saved replies,B,Repository insights can show contributor activity.
Work with GitHub repositories,Repository management,What does repository traffic insight help show?,Private email addresses of visitors,User password strength,Views and clones over time,Local CPU usage,C,Traffic insights can show repository views and clone activity.
Work with GitHub repositories,Repository management,Why are dependency updates important?,They automatically increase stars,They replace code review,They make issues invisible,"They can reduce bugs, compatibility issues, and security risks",D,Keeping dependencies current helps maintain reliability and security.
Work with GitHub repositories,Repository management,Which practice improves repository collaboration?,"Use clear documentation, templates, labels, reviews, and contribution guidelines",Never use branches,Disable all issues and pull requests forever,Store passwords in README files,A,Good repository structure and collaboration standards help teams work effectively.
Collaborate using GitHub,Collaboration tools,What should an issue title usually be?,The full repository history,Clear and specific enough to understand the problem or task,A random emoji only,Empty,B,Clear titles make issues easier to scan and manage.
Collaborate using GitHub,Collaboration tools,What is the purpose of labels on issues and pull requests?,To create user accounts,To publish GitHub Pages,To categorize and filter work,To enable 2FA,C,"Labels help classify work such as bug, enhancement, documentation, or priority."
Collaborate using GitHub,Collaboration tools,Why use milestones with issues and pull requests?,To hide repository activity,To change a user's password,To create a fork,To group work toward a release or goal,D,Milestones help track progress toward a defined objective.
Collaborate using GitHub,Collaboration tools,What does requesting a review on a pull request do?,Asks specific people or teams to review the proposed changes,Creates a GitHub Marketplace app,Turns the repository public,Deletes the branch immediately,A,Review requests make responsibilities clear during collaboration.
Collaborate using GitHub,Collaboration tools,What does approving a pull request usually mean?,The issue is automatically deleted,The reviewer accepts the proposed changes,The repository is archived,The user becomes an organization owner,B,Approval indicates the reviewer supports merging the changes.
Collaborate using GitHub,Collaboration tools,What is a pull request comment useful for?,Changing enterprise billing,Deleting a repository topic,Discussing specific changes or asking questions during review,Creating a passkey,C,Comments support collaboration and feedback on proposed changes.
Collaborate using GitHub,Collaboration tools,Which feature helps users control how much activity they are alerted about?,Repository stars,Gists,License files,Notification settings,D,Notification settings help users manage alerts and workflow focus.
Collaborate using GitHub,Collaboration tools,What does watching a repository do?,Subscribes the user to repository notifications based on selected settings,Creates a fork,Turns on Copilot automatically,Approves all pull requests,A,Watching allows users to receive notifications about repository activity.
Collaborate using GitHub,Collaboration tools,What is a good use for a GitHub Wiki?,Compiling mobile apps,Detailed project documentation that may span multiple pages,Secret storage,User billing management,B,Wikis are useful for long-form or multi-page documentation.
Collaborate using GitHub,Collaboration tools,What is a good use for GitHub Pages?,Managing enterprise users,Changing organization roles,Publishing documentation or static websites from a repository,Creating issue labels,C,GitHub Pages hosts static content from repositories.
Collaborate using GitHub,Collaboration tools,What is a good use for a public Gist?,Managing all repository permissions,Storing production passwords,Replacing a full organization,Sharing a short reusable snippet or example,D,Gists are useful for small pieces of shareable text or code.
Collaborate using GitHub,Collaboration tools,What is the benefit of assigning issues?,It clarifies ownership and responsibility,It disables notifications,It creates a new branch automatically,It hides work from collaborators,A,Assignments help teams know who is handling specific work.
Apply modern development practices,Automation and AI tools,Which file type is commonly used to define GitHub Actions workflows?,MP3,YAML,JPEG,EXE only,B,GitHub Actions workflows are commonly defined in YAML files.
Apply modern development practices,Automation and AI tools,Where are GitHub Actions workflow files usually stored?,/mobile/app,/stars/list,.github/workflows,/billing/settings,C,Workflow files are typically stored in the .github/workflows directory.
Apply modern development practices,Automation and AI tools,Which event can commonly trigger a GitHub Actions workflow?,A repository star only with no configuration,A mobile battery alert,A profile picture view,A push or pull request,D,"Workflows can run on events such as push, pull_request, schedule, or manual dispatch."
Apply modern development practices,Automation and AI tools,What is continuous integration?,Automatically building and testing changes to catch problems early,Making all repositories public,Manually copying files into a README,Deleting branches without review,A,CI helps validate code changes automatically.
Apply modern development practices,Automation and AI tools,What is continuous deployment?,Creating a GitHub profile README,Automatically releasing validated changes to an environment,Changing issue labels manually,Blocking all pull requests permanently,B,Continuous deployment automates release after validation.
Apply modern development practices,Automation and AI tools,How can Copilot help with learning unfamiliar code?,By guaranteeing bug-free code,By automatically changing billing plans,"By suggesting explanations, summaries, and possible code changes",By replacing all repository permissions,C,"Copilot can assist with understanding and modifying code, but users must review output."
Apply modern development practices,Automation and AI tools,Why should Copilot suggestions be reviewed?,Suggestions cannot contain code,Copilot only works for images,GitHub does not allow reviews,"AI suggestions may be incomplete, incorrect, or unsuitable for the project",D,Developers remain responsible for validating AI-generated suggestions.
Apply modern development practices,Automation and AI tools,What is a benefit of Codespaces for onboarding?,New contributors can get a ready-to-use development environment faster,It disables GitHub Actions,It makes every repository public,It removes all need for documentation,A,Codespaces can reduce local setup friction.
Apply modern development practices,Automation and AI tools,What can a devcontainer.json file define?,Issue labels only,"Tools, extensions, settings, and environment configuration",Repository stars,GitHub Sponsors tiers,B,devcontainer.json describes how the development container should be configured.
Apply modern development practices,Automation and AI tools,When is github.dev a good choice?,For enterprise identity provisioning,For managing billing invoices,For quick edits directly in the browser,For running resource-heavy builds by default,C,github.dev is useful for lightweight browser editing.
Apply modern development practices,Automation and AI tools,When is Codespaces a better choice than github.dev?,When you want to create a passkey,When you only need to star a repository,When you need to follow a user,When you need a complete cloud development environment with terminal and compute,D,Codespaces provides a fuller development environment than github.dev.
Apply modern development practices,Automation and AI tools,What is an important benefit of automation in development workflows?,It improves consistency and reduces repetitive manual work,It removes all human responsibility,It guarantees perfect software,It prevents collaboration,A,Automation helps teams repeat processes consistently.
Manage projects with GitHub,Project Tracking and organization,What is a project item?,A Git branch only,"An issue, pull request, draft issue, or tracked item in a GitHub Project",A GitHub Marketplace app,A repository password,B,Projects track different work items.
Manage projects with GitHub,Project Tracking and organization,Why use custom fields in GitHub Projects?,To change repository visibility,To enable passkeys,"To track metadata such as status, priority, size, or team",To store private passwords,C,Custom fields allow teams to model work in ways that fit their process.
Manage projects with GitHub,Project Tracking and organization,What is a board layout useful for?,Changing account email,Creating GitHub Sponsors profiles,Editing SSH keys,"Viewing work grouped into columns such as Todo, In Progress, and Done",D,Board views help visualize workflow status.
Manage projects with GitHub,Project Tracking and organization,What is a table layout useful for?,Viewing and editing many project fields in a structured grid,Publishing static websites only,Generating passkeys,Running local Git commands,A,Table views are useful for detailed project tracking.
Manage projects with GitHub,Project Tracking and organization,How can workflows improve GitHub Projects?,By blocking all notifications,By automatically updating project fields or item status,By replacing the README file,By removing all repository permissions,B,Workflows reduce manual project maintenance.
Manage projects with GitHub,Project Tracking and organization,Why are saved replies helpful in busy repositories?,They merge pull requests automatically,They delete stale branches,They reduce repeated typing and keep responses consistent,They create organization roles,C,Saved replies are reusable comment templates.
Manage projects with GitHub,Project Tracking and organization,What is the purpose of assignees in project tracking?,To hide the project from owners,To create a fork,To encrypt the issue body,To show who is responsible for a task or review,D,Assignees clarify ownership.
Manage projects with GitHub,Project Tracking and organization,What can project insights reveal?,"Trends in progress, completion, and workload",Local disk health,Exact visitor identities,Private user passwords,A,Project insights help teams evaluate progress and productivity.
"Understand privacy, security, and administration",Security and access management,Which authentication practice is safer than using only a password?,Using no branch protection,Two-factor authentication,Sharing one account,Making all repositories public,B,2FA adds a second verification factor to reduce account compromise risk.
"Understand privacy, security, and administration",Security and access management,Why are passkeys considered phishing-resistant?,They are shared by all organization members,They disable encryption,They use cryptographic authentication tied to the legitimate service,They are stored in README files,C,Passkeys reduce phishing risk because they do not rely on typing a reusable password into a site.
"Understand privacy, security, and administration",Security and access management,What should least privilege mean in GitHub administration?,Allow public access to all private repositories,Make everyone an owner,Disable all repository permissions,Give users only the access they need to do their work,D,Least privilege limits unnecessary access.
"Understand privacy, security, and administration",Security and access management,Which role usually has the broadest control in an organization?,Owner,Outside contributor,Read-only collaborator,Guest viewer only,A,Organization owners have broad administrative control.
"Understand privacy, security, and administration",Security and access management,Why use teams instead of assigning permissions one user at a time?,Teams make all repositories public,Teams make permission management easier and more consistent,Teams disable pull requests,Teams remove the need for authentication,B,Teams help manage access at scale.
"Understand privacy, security, and administration",Security and access management,What does branch protection help prevent?,Issues from being labeled,Markdown from rendering,Unreviewed or failing changes from being merged into important branches,Users from creating README files,C,Branch protection enforces rules before changes can be merged.
"Understand privacy, security, and administration",Security and access management,Which control can require automated checks before merging?,Gists,User followers,Repository stars,Required status checks,D,Required status checks can ensure tests or workflows pass before merge.
"Understand privacy, security, and administration",Security and access management,Why manage Copilot policies at the organization level?,"To align AI assistance with company rules, security, and licensing requirements",To delete all workflow runs,To force every repository to be public,To remove all documentation,A,Organization-wide policy management supports governance of Copilot use.
"Understand privacy, security, and administration",Security and access management,What is a repository collaborator?,A GitHub Pages domain,A user granted access to work on a repository,A GitHub Marketplace app,A branch protection rule,B,Collaborators are users who have been given repository access.
"Understand privacy, security, and administration",Security and access management,What is the safest repository visibility for sensitive private code?,Trending,Public,Private,Sponsored,C,Private visibility restricts access to authorized users.
"Understand privacy, security, and administration",Security and access management,Why should admins periodically review member access?,To disable all notifications,To make all forks private automatically,To increase every user's role,To remove unnecessary access and keep permissions accurate,D,Access reviews help reduce security risk.
"Understand privacy, security, and administration",Security and access management,What should be configured to protect important production branches?,Branch protection rules,Repository stars,Public gists,Profile README,A,Branch protection rules help safeguard important branches.
Explore the GitHub community,Open-source engagement,What does contributing to open source help developers do?,Bypass licensing rules,"Learn, collaborate, build reputation, and improve shared software",Automatically become organization owners,Avoid all code review,B,"Open-source contribution supports learning, collaboration, and software improvement."
Explore the GitHub community,Open-source engagement,Why is a license important in an open-source project?,It stores passwords,It automatically fixes bugs,"It explains how others may use, modify, and distribute the code",It creates project workflows,C,A license defines usage permissions and obligations.
Explore the GitHub community,Open-source engagement,What is the purpose of contribution guidelines in open source?,To remove the need for reviews,To block all public users,To hide project goals,To explain how people should report issues and submit changes,D,Contribution guidelines help contributors participate effectively.
Explore the GitHub community,Open-source engagement,What is a fork commonly used for in open source?,Making changes independently before proposing them upstream,Deleting the original repository,Becoming the repository owner automatically,Removing the project license,A,Forks support independent experimentation and contribution through pull requests.
Explore the GitHub community,Open-source engagement,What is the upstream repository?,A private notification setting,The original or main repository a fork is based on,A local-only branch,A GitHub Marketplace invoice,B,The upstream repository is the source project that a fork commonly tracks.
Explore the GitHub community,Open-source engagement,Why follow an organization?,To bypass 2FA,To access private secrets automatically,To stay updated about its public repositories and activity,To gain admin rights,C,Following helps users discover updates and activity.
Explore the GitHub community,Open-source engagement,What can GitHub Marketplace help teams find?,Local device drivers only,Repository owners' personal addresses,Private user passwords,"Integrations, GitHub Actions, and productivity tools",D,Marketplace provides apps and tools that extend GitHub workflows.
Explore the GitHub community,Open-source engagement,What is InnerSource intended to improve?,Internal collaboration and reuse using open-source-style practices,Public access to all company secrets,Anonymous administration,Removal of documentation,A,InnerSource applies open collaboration practices inside organizations.
Explore the GitHub community,Open-source engagement,Why make a repository discoverable when appropriate?,To hide the project from search,"To help others find, use, and contribute to it",To prevent anyone from reading the README,To disable forks permanently,B,Discoverability helps attract users and collaborators.
Explore the GitHub community,Open-source engagement,When should a template repository be used by a community?,When creating a passkey,When reporting phishing,When many projects should start from the same structure or boilerplate,When enforcing 2FA,C,Template repositories help communities share reusable project structure.
