Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Collaborate using GitHub,Collaboration tools,Which feature groups issues and pull requests toward a release?,Gist,Passkey,Milestone,Repository topic,C,Milestones track progress toward a release or shared goal.
Collaborate using GitHub,Collaboration tools,How can a pull request automatically close an issue when merged?,Enable GitHub Mobile,Star the repository twice,Create a GitHub Pages site,Use a closing keyword such as Fixes followed by the issue reference,D,Closing keywords link pull requests to issues and can close them after merge.
Collaborate using GitHub,Collaboration tools,Why are notifications useful in a collaborative project?,They alert users about relevant activity and review requests,They generate license files,They remove old branches,They replace all code reviews,A,Notifications help users keep track of work requiring attention.
Collaborate using GitHub,Collaboration tools,What is a saved reply useful for?,Changing branch visibility,Reusing common responses in issue or pull request comments,Running automated tests,Creating a new organization,B,Saved replies make repeated communication faster and consistent.
Collaborate using GitHub,Collaboration tools,What is the main use of a GitHub Wiki?,Managing passkeys,Approving pull requests automatically,Maintaining project documentation pages,Storing GitHub Actions secrets publicly,C,Wikis provide additional repository documentation.
Collaborate using GitHub,Collaboration tools,What is a good use case for a Gist?,Enforcing branch protection,Configuring Copilot policy,Managing team permissions,Sharing a short code snippet or note,D,Gists are suited for small shareable code or text snippets.
Collaborate using GitHub,Collaboration tools,What does reviewing a pull request help ensure?,"Changes are understood, discussed, and validated before merge",The account password is rotated,Every issue becomes public,The repository gains sponsors automatically,A,Code review improves collaboration and quality control.
Apply modern development practices,Automation and AI tools,Which GitHub feature can run tests automatically after a push?,GitHub Sponsors,GitHub Actions,GitHub Wiki,Repository stars,B,GitHub Actions can run automated workflows such as tests after repository events.
Apply modern development practices,Automation and AI tools,What is a GitHub Actions runner?,A project label only,A repository license,The machine or environment that executes workflow jobs,A profile follower,C,Runners execute the jobs defined in GitHub Actions workflows.
Apply modern development practices,Automation and AI tools,What does CI help detect?,Profile README formatting only,Repository follower count,Organization billing errors only,Build or test failures early in the development process,D,Continuous integration helps catch issues as code changes are made.
Apply modern development practices,Automation and AI tools,What is a workflow job?,A set of steps that run on a runner,A repository star event only,A GitHub user role,A Markdown heading,A,Jobs group workflow steps and run in a specified environment.
Apply modern development practices,Automation and AI tools,Which file location is commonly used for GitHub Actions workflows?,/wiki/images,.github/workflows,/profile/followers,/security/passkeys,B,GitHub Actions workflows are usually stored in the .github/workflows directory.
Apply modern development practices,Automation and AI tools,What should developers do with GitHub Copilot suggestions?,Treat them as legal licenses,Use them only for repository billing,Review and test them before accepting,Accept every suggestion automatically,C,AI suggestions require human review and testing.
Apply modern development practices,Automation and AI tools,How can Copilot support productivity?,By deleting old branches automatically,By guaranteeing zero vulnerabilities,By replacing repository owners,"By suggesting code, tests, explanations, and possible fixes",D,"Copilot can assist with many coding tasks, but users remain responsible for validation."
Apply modern development practices,Automation and AI tools,What is a major advantage of Codespaces?,It provides a ready cloud development environment,It makes private repositories public,It disables terminal access,It replaces all repository documentation,A,Codespaces gives users a configured development environment in the cloud.
Apply modern development practices,Automation and AI tools,What does a dev container help standardize?,Repository follower count,"Development tools, dependencies, and environment settings",Issue reactions,Sponsor tiers,B,Dev containers help ensure consistent environments across users.
Apply modern development practices,Automation and AI tools,When should github.dev be preferred over Codespaces?,For running complex backend services,For managing enterprise billing,For lightweight browser edits that do not require a full compute environment,For replacing organization roles,C,"github.dev is best for quick edits, while Codespaces is better for full development."
Apply modern development practices,Automation and AI tools,Which Copilot plan type is most focused on organization policy and enterprise controls?,GitHub Pages free theme,Anonymous gist plan,Repository star plan,Business or Enterprise,D,Business and Enterprise Copilot plans provide more management and policy capabilities than individual usage.
Apply modern development practices,Automation and AI tools,Why are automated checks useful in pull requests?,They help validate changes before reviewers merge them,They replace the need for branches,They publish all secrets,They remove all issue history,A,Automated checks support quality gates during review.
Manage projects with GitHub,Project Tracking and organization,A team wants a Kanban-style view of issues. Which project layout fits best?,Gist view,Board,License view,Passkey list,B,"Board layout is useful for status columns like Todo, In Progress, and Done."
Manage projects with GitHub,Project Tracking and organization,A manager wants spreadsheet-like tracking of issue fields. Which layout fits best?,Gist,Wiki,Table,Star list,C,Table layout is useful for structured project tracking.
Manage projects with GitHub,Project Tracking and organization,Which project field commonly tracks urgency?,License,Passkey,Clone count,Priority,D,Priority is commonly used to track urgency or importance.
Manage projects with GitHub,Project Tracking and organization,Which project field commonly tracks work stage?,Status,User follower count,Sponsor amount,Repository visibility,A,"Status tracks stages such as Todo, In Progress, or Done."
Manage projects with GitHub,Project Tracking and organization,Why use labels with GitHub Projects?,To create passkeys,To classify and filter tracked work,To store secrets,To replace repository owners,B,Labels make project work easier to organize and filter.
Manage projects with GitHub,Project Tracking and organization,Why use milestones with Projects?,To store repository traffic,To change profile followers,To connect project work to a release or goal,To create a browser editor,C,Milestones connect issues and pull requests to larger targets.
Manage projects with GitHub,Project Tracking and organization,What can project automation do?,Make private repositories public,Remove all organization teams,Write production code without review,Move or update items based on events or rules,D,Project workflows can automate changes such as status updates.
Manage projects with GitHub,Project Tracking and organization,What can project insights help answer?,Whether work is progressing and where bottlenecks exist,Who viewed a private repository exactly,Which passkey was created first,What every user's password is,A,Insights can reveal progress and workflow patterns.
Manage projects with GitHub,Project Tracking and organization,Why assign people to issues in a project?,To increase star count,To clarify responsibility for completing work,To disable pull request review,To create a public website,B,Assignees show who is responsible.
Manage projects with GitHub,Project Tracking and organization,What is a draft issue in GitHub Projects useful for?,Creating repository licenses,Generating passkeys,Capturing work ideas before turning them into repository issues,Deleting project workflows,C,Draft issues help plan work before it becomes a formal issue.
"Understand privacy, security, and administration",Security and access management,What is the most secure recommendation for account access?,Disable all sign-in protections,Share one password across the team,Commit credentials to README,Enable 2FA or passkeys,D,2FA and passkeys improve account security.
"Understand privacy, security, and administration",Security and access management,Which practice helps reduce damage if an account is compromised?,Least-privilege access,Removing all branch protection,Making everyone an owner,Publishing private repos,A,Least privilege limits the permissions available to each user.
"Understand privacy, security, and administration",Security and access management,Which repository setting controls who can see the repository?,Milestone,Visibility,Saved reply,Markdown heading,B,"Visibility determines whether a repository is public, private, or internal where available."
"Understand privacy, security, and administration",Security and access management,Which visibility is appropriate for code that should be available to everyone?,Archived-only,Internal-only,Public,Private,C,Public repositories are visible to anyone.
"Understand privacy, security, and administration",Security and access management,Which visibility is appropriate for confidential company code?,Sponsored,Public,Trending,Private,D,Private repositories restrict access to authorized users.
"Understand privacy, security, and administration",Security and access management,What does branch protection commonly require?,Reviews or successful checks before merging,Gists before opening issues,Repository stars before cloning,Profile followers before commenting,A,Branch protection can enforce review and status check requirements.
"Understand privacy, security, and administration",Security and access management,What is a required status check?,A GitHub Sponsor payment,An automated check that must pass before merging,A wiki page approval,A repository follower count,B,Required checks help ensure changes meet validation rules.
"Understand privacy, security, and administration",Security and access management,What is an outside collaborator?,A public repository viewer with no permissions,The organization owner only,Someone given access to a repository but not necessarily a member of the organization,A GitHub Marketplace app,C,Outside collaborators can be granted repository access without full organization membership.
"Understand privacy, security, and administration",Security and access management,Why should organization owners manage teams carefully?,Teams delete project insights,Teams automatically make all code public,Teams replace 2FA,Teams can control access to multiple repositories,D,Team permissions affect repository access at scale.
"Understand privacy, security, and administration",Security and access management,What are Enterprise Managed Users designed to support?,Centralized enterprise identity and user lifecycle management,Repository star automation,Anonymous open-source contributions only,Public gist formatting,A,EMUs help enterprises centrally manage identities and access.
"Understand privacy, security, and administration",Security and access management,Why configure Copilot policies at the organization level?,To hide all issue labels,To control AI coding tool availability and settings for members,To remove branch protection,To force every repository to be public,B,Organization-level Copilot policies help manage usage and governance.
"Understand privacy, security, and administration",Security and access management,Which admin habit improves security over time?,Disable audit practices,Never update permissions,"Regularly review access, roles, policies, and inactive users",Share admin accounts,C,Regular reviews help keep access aligned with current needs.
Explore the GitHub community,Open-source engagement,A developer wants to contribute to a project without write access. What should they commonly use?,Repository billing page,Passkey reset,Organization owner role,Fork and pull request,D,Forks allow contributors to propose changes without direct write access.
Explore the GitHub community,Open-source engagement,Why is a clear README important for open-source projects?,"It helps users understand purpose, setup, and contribution options",It disables forks,It hides project files,It replaces the license,A,Good README files improve onboarding and adoption.
Explore the GitHub community,Open-source engagement,What does GitHub Sponsors help support?,Closing pull requests automatically,Funding open-source maintainers and projects,Deleting branches,Creating passkeys,B,GitHub Sponsors provides a way to financially support maintainers.
Explore the GitHub community,Open-source engagement,What does following a user on GitHub help with?,Gaining admin access,Changing their repository visibility,Seeing their public activity and projects,Viewing private secrets,C,Following helps users stay informed about public activity.
Explore the GitHub community,Open-source engagement,What is GitHub Marketplace useful for?,Buying laptops,Viewing private passwords,Managing local Windows settings,Finding integrations and Actions that extend GitHub workflows,D,Marketplace helps users discover tools and integrations.
Explore the GitHub community,Open-source engagement,What is InnerSource?,Using open-source collaboration practices inside an organization,Publishing all internal code publicly,Avoiding documentation,Removing all repository permissions,A,InnerSource applies open-source methods to internal collaboration.
Explore the GitHub community,Open-source engagement,What helps an open-source repository attract contributors?,Disabled pull requests,"Clear documentation, license, issues, labels, and contribution guidelines",Only private visibility,No README and no license,B,Good project structure makes contribution easier.
Explore the GitHub community,Open-source engagement,When is a template better than a fork?,When reporting a vulnerability,When proposing a change back to the original project,When starting a new independent project from reusable boilerplate,When enabling 2FA,C,"Templates are for starting new projects, while forks preserve a relationship to an upstream repository."
Explore the GitHub community,Open-source engagement,When is a fork better than a template?,When creating a totally unrelated starter project,When updating organization billing,When managing passkeys,When you want to propose changes back to the original repository,D,Forks are useful for contributing back to an upstream project.
Explore the GitHub community,Open-source engagement,Why are discoverable repositories valuable?,"They help others find, use, learn from, and contribute to projects",They hide source code from search,They prevent all collaboration,They remove the need for licenses,A,Discoverability supports adoption and community collaboration.
