Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Collaborate using GitHub,Collaboration tools,A team wants to track all issues planned for a release candidate. Which feature is most relevant?,Repository stars,Milestones,Gists,Passkey settings,B,Milestones group work toward a release or goal.
Collaborate using GitHub,Collaboration tools,"A community wants a place for roadmap questions, ideas, and general Q&A. Which feature fits best?",Required status checks,Branch deletion,Discussions,CODEOWNERS,C,"Discussions are for broad conversations, Q&A, and announcements."
Collaborate using GitHub,Collaboration tools,A maintainer receives too many notifications from a repository they only occasionally review. What should they adjust?,Repository license,Branch name,Project layout only,Watching and notification settings,D,Watching and notification settings control alert volume.
Collaborate using GitHub,Collaboration tools,A documentation team wants repository-based documentation pages without building a separate website. Which feature fits?,Wiki,Passkey,Copilot policy,Repository traffic,A,Wikis provide documentation pages tied to repositories.
Collaborate using GitHub,Collaboration tools,A developer wants to share a single PowerShell snippet with a colleague. What is lightweight and appropriate?,Branch protection,Gist,Organization role,Milestone,B,Gists are good for sharing small snippets.
Apply modern development practices,Automation and AI tools,A pull request should not merge unless tests pass. What GitHub setup supports this?,Repository stars plus topics,Profile README plus Pages,GitHub Actions tests plus required status checks,GitHub Sponsors plus Gists,C,"Actions can run tests, and required checks can block merging."
Apply modern development practices,Automation and AI tools,A workflow must run every night even when no code changes. Which trigger is useful?,star only,pull_request only,fork only,schedule,D,Scheduled workflows can run on a cron schedule.
Apply modern development practices,Automation and AI tools,A workflow must be started manually by a maintainer. Which trigger should be used?,workflow_dispatch,issue_comment only,passkey_create,license_event,A,workflow_dispatch enables manual workflow runs.
Apply modern development practices,Automation and AI tools,A CI workflow has separate test and build jobs. What runs each job?,A project label,A GitHub Actions runner,A repository topic,A Wiki page,B,Runners execute Actions jobs.
Apply modern development practices,Automation and AI tools,A contributor needs a complete browser-based development environment with terminal access. Which tool should they use?,github.dev,Repository Insights,Codespaces,GitHub Mobile,C,Codespaces provides terminal and compute resources.
Apply modern development practices,Automation and AI tools,A project needs the same VS Code extensions and dependencies for every Codespace. What should be configured?,A repository star list,A GitHub Sponsor profile,A public Gist,A dev container configuration,D,Dev container configuration standardizes the environment.
Apply modern development practices,Automation and AI tools,An AI coding suggestion compiles but changes business logic incorrectly. What does this demonstrate?,Copilot output must be reviewed and tested,Tests should be disabled for AI code,Pull requests are unnecessary with AI,Copilot suggestions are always production-ready,A,AI suggestions require human validation.
Apply modern development practices,Automation and AI tools,A company wants policy controls for Copilot across many developers. Which plan type is more appropriate?,GitHub Pages,Copilot Business or Enterprise,Only Copilot Individual,Public Gists,B,Business and Enterprise plans support organization-level controls.
Manage projects with GitHub,Project Tracking and organization,A project manager wants a field showing which team owns each item. What should they configure?,A passkey,A repository topic only,A custom field,A Gist,C,"Custom fields can track team, owner, priority, size, or status."
Manage projects with GitHub,Project Tracking and organization,A team wants cards to move from In Progress to Done automatically after PR merge. What feature helps?,Profile README,GitHub Sponsors,Repository traffic,Project workflows,D,Project workflows can automate project item updates.
Manage projects with GitHub,Project Tracking and organization,A roadmap needs time-based planning across upcoming releases. Which view is most helpful?,Roadmap-style project view,Passkey settings,Gist view,Profile followers,A,Roadmap views help plan work over time.
Manage projects with GitHub,Project Tracking and organization,A triage lead wants to quickly find high-priority bugs assigned to a person. What combination helps?,"Passkeys, stars, and forks","Labels, priority fields, and assignees","GitHub Pages, Sponsors, and Gists",Profile README and followers,B,Metadata makes work easier to filter and assign.
Manage projects with GitHub,Project Tracking and organization,A support engineer repeatedly posts the same response asking for logs. What feature saves time?,Enterprise Managed Users,Branch protection,Saved replies,Dependency insights,C,Saved replies reuse common comment text.
Manage projects with GitHub,Project Tracking and organization,A lead wants to identify how many planned tasks are complete. Which feature can help?,Repository license,GitHub Desktop theme,Passkey type,Project insights,D,Project insights help analyze progress and productivity.
"Understand privacy, security, and administration",Security and access management,A company wants all developers to use stronger sign-in than passwords alone. What should be required?,2FA or passkeys,Public repositories,Shared admin accounts,Repository stars,A,2FA and passkeys improve account security.
"Understand privacy, security, and administration",Security and access management,A user only needs read access but was given admin. Which principle is violated?,Markdown formatting,Least privilege,Open source,GitHub Flow,B,Least privilege means granting only necessary permissions.
"Understand privacy, security, and administration",Security and access management,A branch should require two reviews before merge. Which feature should enforce this?,Repository stars,GitHub Pages,Branch protection rules,Gists,C,Branch protection can require reviews.
"Understand privacy, security, and administration",Security and access management,A contractor needs temporary access to one repository. What is safer than making them an organization owner?,Disable 2FA,Share an owner password,Make all repositories public,Grant limited repository access as an outside collaborator,D,Outside collaborators can receive scoped access.
"Understand privacy, security, and administration",Security and access management,An enterprise wants identity lifecycle controlled centrally by the company. Which GitHub feature fits?,Enterprise Managed Users,Repository stars,GitHub Desktop,Public Gists,A,EMUs support centralized user management.
"Understand privacy, security, and administration",Security and access management,A private repository accidentally includes a leaked token in history. What is the best response?,Assume private history is harmless,Revoke the token and remove/rotate the secret appropriately,Add a star to the repository,Create a Wiki page only,B,Committed secrets should be revoked and remediated.
"Understand privacy, security, and administration",Security and access management,Which visibility allows everyone on the internet to view the repository?,Internal,Archived-only,Public,Private,C,Public repositories are visible to everyone.
"Understand privacy, security, and administration",Security and access management,Which visibility is generally limited to enterprise members where supported?,Starred,Sponsored,Public,Internal,D,Internal repositories are scoped to enterprise members.
Explore the GitHub community,Open-source engagement,A newcomer wants beginner-friendly tasks in an open-source repo. Which label should they look for?,good first issue,owner-only,security-secret,billing-required,A,good first issue highlights approachable tasks.
Explore the GitHub community,Open-source engagement,A project wants to make contribution expectations clear. Which file helps most?,Repository star list,CONTRIBUTING.md,Traffic graph,Passkey file,B,CONTRIBUTING.md explains how to participate.
Explore the GitHub community,Open-source engagement,A company applies public open-source practices to internal projects. What is this called?,Passkey enforcement,Fork deletion,InnerSource,Repository archiving,C,InnerSource uses open-source-style collaboration within an organization.
Explore the GitHub community,Open-source engagement,A user wants to support a maintainer financially. Which feature is relevant?,GitHub Desktop,Branch protection,Issue templates,GitHub Sponsors,D,GitHub Sponsors supports open-source maintainers financially.
Explore the GitHub community,Open-source engagement,A user wants to propose changes to an upstream project from their own copy. What should they use?,Fork,Wiki only,Template only,Passkey,A,Forks support proposing changes back upstream.
Explore the GitHub community,Open-source engagement,A team wants others to start independent projects using its boilerplate. What should it provide?,Outside collaborator access,Template repository,Owner role,Security advisory,B,Templates are for creating new independent repositories from a base.
Explore the GitHub community,Open-source engagement,A developer wants tools that integrate with GitHub workflows. Where should they search?,Passkey settings,Profile README,GitHub Marketplace,Repository traffic only,C,"Marketplace lists GitHub apps, Actions, and integrations."
Explore the GitHub community,Open-source engagement,What improves an open-source repository’s discoverability?,No license and no README,No documentation and disabled issues,Private visibility only,"Topics, description, README, license, and contribution guidance",D,Metadata and documentation help people find and understand the project.
