Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand generative AI fundamentals,Responsible AI and data protection practices,Which practice helps reduce the risk of acting on fabricated answers?,"Ask for sources, verify citations, and compare with trusted data",Copy output directly into final reports,Use shorter prompts only,Disable all human review,A,Verification reduces the risk of relying on unsupported output.
Understand generative AI fundamentals,Responsible AI and data protection practices,A prompt includes customer personal data that is not needed for the task. What is the best practice?,Add more personal data to improve style,Share the prompt publicly,Disable all labels,Remove or minimize unnecessary sensitive data before prompting,D,Data minimization reduces unnecessary sensitive data exposure.
Understand generative AI fundamentals,Responsible AI and data protection practices,Which scenario is the clearest example of prompt injection risk?,A Word file has a title page,A user cites an internal policy document,A web page contains hidden instructions telling Copilot to ignore previous directions,A Teams meeting has an agenda,C,Hidden malicious instructions can try to manipulate AI behavior.
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,What is a strong prompt likely to include?,Unrelated files and no instructions,"Clear goal, context, source references, constraints, and desired output format",Only the word 'help',A request to ignore security policies,B,Effective prompts provide clear instructions and relevant context.
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,A user wants a short executive summary in five bullets. What should they include in the prompt?,"The desired audience, length, format, and source document",Only the file name with no task,An instruction to skip verification,A request for every detail in the document,A,"Prompting for audience, length, and format improves output usefulness."
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,A user wants Copilot to analyze a specific spreadsheet. What should they reference?,A private HR file they cannot access,An unrelated email thread,No resource at all,The relevant workbook or data range they have permission to use,D,Referencing appropriate resources helps ground the response.
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,Which resource is most appropriate for a prompt asking for a customer renewal summary?,A random public blog with no customer context,A blank document,"Relevant CRM export, meeting notes, emails, or account documents the user can access",An inaccessible salary report,C,Appropriate source context improves task relevance.
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,Why save a prompt?,To permanently delete Copilot history,To reuse a helpful prompt pattern later without rebuilding it from scratch,To convert every chat into a meeting,To bypass permissions,B,Saved prompts improve repeatability and productivity.
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,When is scheduling a prompt useful?,When the same task should run at a planned time or recurring cadence,When the user wants to delete Copilot,When a one-time typo needs correction immediately,When all source data is unavailable,A,Scheduled prompts are useful for repeatable time-based tasks.
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,A team has a successful prompt for weekly customer risk summaries. What can improve consistency across team members?,Use only vague instructions,Remove all source references,Delete the prompt after each use,Share the prompt with the team,D,Sharing useful prompts helps teams standardize repeatable workflows.
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,"A prompt returns broad, generic output. Which improvement is most likely to help?",Ask Copilot to guess the source files,Remove all instructions,"Add specific context, desired format, audience, and constraints",Use only emojis,C,Specificity improves the relevance and structure of Copilot responses.
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,A user asks Copilot to draft a client email from a meeting transcript. Which prompt detail is especially useful?,The user's favorite color only,"Tone, audience, key points, and transcript reference",A request to ignore the transcript,Unrelated financial data,B,"Tone, audience, and source context help create an appropriate draft."
Manage prompts and conversations by using AI,Create and manage prompts in Microsoft 365 Copilot,A prompt asks Copilot to compare three project documents. What should the user do?,Reference the specific documents and define comparison criteria,Use a restricted document they cannot access,Ask only 'compare them' with no files,Avoid explaining the output format,A,Comparison tasks benefit from clear sources and criteria.
Manage prompts and conversations by using AI,Manage conversations in Microsoft 365 Copilot,A user needs to continue a Copilot discussion from last week. What should they know how to do?,Disable all app context,Create a new tenant,Remove document permissions,Find previous conversations,D,Users can locate previous Copilot conversations when they need to resume work.
Manage prompts and conversations by using AI,Manage conversations in Microsoft 365 Copilot,A chat title is vague and hard to recognize later. What can the user do?,Make it public,Convert it to a license,Rename the chat,Delete all notebooks,C,Renaming chats helps organize and identify past conversations.
Manage prompts and conversations by using AI,Manage conversations in Microsoft 365 Copilot,A user no longer needs a sensitive or obsolete Copilot chat. What action may be appropriate?,Turn it into a public web page,Delete the chat,Share it with the whole company,Add unrelated files,B,Deleting chats can help manage conversation history.
Manage prompts and conversations by using AI,Manage conversations in Microsoft 365 Copilot,A user wants to keep useful Copilot output with related notes and materials. What should they do?,Add the conversation to a notebook,Disable Copilot responses,Rename the tenant,Remove all citations,A,Adding conversations to notebooks helps organize work and related content.
Manage prompts and conversations by using AI,Manage conversations in Microsoft 365 Copilot,Why rename a Copilot chat?,To change the source file permissions,To bypass data protection,To schedule a Teams meeting automatically,To make it easier to find and understand later,D,A clear chat name improves navigation and reuse.
Manage prompts and conversations by using AI,Manage conversations in Microsoft 365 Copilot,A user wants to keep a research conversation separate from a sales proposal conversation. Which practice helps?,Delete all previous chats daily,Merge all chats into one unnamed conversation,Use clear chat names and notebooks for organization,Disable conversation history in every app,C,Organizing conversations improves retrieval and context management.
Manage prompts and conversations by using AI,Manage conversations in Microsoft 365 Copilot,A user cannot remember where an earlier Copilot answer came from. What should they check?,The number of unread emails,"Previous conversations and cited sources, if available",The browser zoom level,Only the device wallpaper,B,Conversation history and citations can help reconstruct prior work.
Manage prompts and conversations by using AI,Manage conversations in Microsoft 365 Copilot,Which action best supports long-running research or planning work?,Add relevant conversations to a notebook,Use only one-word prompts,Avoid saving useful output,Delete every chat after first response,A,Notebooks help organize related conversations and materials.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,When should a user look in Agent Store first?,When they want to bypass approvals,When they need to delete all chats,When no use case exists,When an existing agent may already satisfy the business need,D,Agent Store can provide existing agents before creating a new one.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,When is creating a new agent better than using Agent Store?,When the task is a single generic question,When the user wants fewer controls,When the organization needs a specialized agent with custom instructions or knowledge,When no repeatable workflow exists,C,"Custom agents are useful for specialized, repeatable needs."
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,Why use an agent template?,To automatically publish sensitive files,To start from a predefined structure for a common agent scenario,To remove all permissions from Microsoft 365,To create a mailbox rule only,B,Templates can speed agent creation by providing a starting configuration.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,What does configuring agent knowledge do?,It connects the agent to relevant information sources it can use within permissions,It gives all users admin access,It makes private files public,It disables sensitivity labels,A,Knowledge sources help ground agent responses while respecting access controls.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,What should agent instructions define?,The device serial number only,The user's password,The tenant invoice number,"The agent's role, behavior, boundaries, and task guidance",D,Instructions shape how the agent responds and performs tasks.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,What are suggested prompts in an agent useful for?,Forcing all responses to be public,Removing all data protection,Helping users understand common tasks the agent can perform,Disabling chat history,C,Suggested prompts guide users toward effective agent interactions.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,A department agent should be available to selected coworkers only. What should the owner configure?,Public internet publishing by default,Sharing settings for the appropriate team members,A blank knowledge source,A personal password in the instructions,B,Sharing controls determine who can use an agent.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,A finance team agent gives answers outside its intended scope. What should be adjusted?,"Instructions, capabilities, and knowledge boundaries",The user's monitor resolution,The repository star count,The Teams ringtone,A,Agent settings can refine behavior and scope.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,A user wants an agent that answers based on specific SharePoint documents. What is the key configuration area?,Notification sound,Profile picture,Calendar color only,Knowledge sources,D,Knowledge sources ground the agent in selected information.
Manage prompts and conversations by using AI,Create and manage Microsoft 365 Copilot agents,A custom agent should perform a narrow repeatable task. What helps users interact with it correctly?,Public sharing to everyone by default,No description and no examples,Clear instructions and suggested prompts,Unrelated knowledge files,C,Clear configuration improves agent usability.
Draft and analyze business content by using AI,Draft business documents and communications,A user wants Copilot to create a first draft of a project charter. What should the prompt include?,A request to ignore source documents,"Purpose, audience, scope, constraints, and desired format",Only 'make it good',No business context,B,"Strong drafting prompts include purpose, audience, scope, and format."
Draft and analyze business content by using AI,Draft business documents and communications,A user wants a new Word document based on an existing proposal. What should they do?,Reference the existing proposal and specify the new document goal,Ask Copilot to guess the proposal,Delete the proposal first,Use an unrelated spreadsheet,A,Referencing source content helps Copilot generate grounded drafts.
Draft and analyze business content by using AI,Draft business documents and communications,A manager needs a one-page summary of a 40-page report for leadership. Which task fits Copilot well?,Change SharePoint permissions,Reset all user passwords,Create a device compliance policy,Generate a management summary from the document,D,Copilot can summarize business documents for specific audiences.
Draft and analyze business content by using AI,Draft business documents and communications,A user wants to move insights from Excel into a PowerPoint presentation. What can Copilot help with?,Removing all workbook formulas,Publishing private files externally,Transforming data insights into presentation content,Disabling Teams meetings,C,Copilot can help move content and insights between Microsoft 365 experiences.
Draft and analyze business content by using AI,Draft business documents and communications,A user asks Copilot to draft a customer apology email. Which prompt element matters most?,A random unrelated meeting,"Tone, audience, facts, constraints, and desired next step",The user's desktop wallpaper,No context and no desired outcome,B,"Business communications require clear tone, facts, and audience guidance."
Draft and analyze business content by using AI,Draft business documents and communications,A generated customer email includes an unsupported promise. What should the user do?,Review and edit the draft before sending,Share all internal notes with the customer,Send it immediately because AI wrote it,Remove all human approval,A,AI-generated communications should be reviewed for accuracy and appropriateness.
Draft and analyze business content by using AI,Draft business documents and communications,A user wants a document created from meeting notes and a project plan. Which prompt approach is best?,Ask Copilot to ignore the project plan,Use no references and ask for a random document,Request hidden confidential data,Reference both sources and define the document structure,D,Specific sources and structure improve draft quality.
Draft and analyze business content by using AI,Draft business documents and communications,What is the best use of Copilot for management summaries?,Replacing all executive judgment,Approving budgets automatically,"Condensing key decisions, risks, metrics, and actions for leadership review",Changing file permissions,C,"Copilot can help condense information, but users should review the result."
Draft and analyze business content by using AI,Meetings and collaboration,How can Microsoft 365 Copilot help with meetings?,Bypass meeting permissions,"Summarize discussions, identify action items, and help prepare or follow up",Guarantee every transcript is perfect,Physically attend the meeting for the user,B,"Copilot can assist with meeting preparation, summaries, and follow-up tasks."
Draft and analyze business content by using AI,Meetings and collaboration,A user wants to know what decisions were made in a Teams meeting. What can Copilot help generate?,A meeting recap with decisions and action items,A new tenant password policy,A SharePoint storage quota report,A license invoice,A,Copilot can help summarize meetings and extract decisions or action items.
Draft and analyze business content by using AI,Meetings and collaboration,What is Copilot Pages useful for?,Replacing all file permissions,Disabling Outlook drafts,Creating device compliance rules,Collaborating on AI-generated content and shared working notes,D,Copilot Pages supports collaborative work around AI-generated content.
Draft and analyze business content by using AI,Meetings and collaboration,A team wants to refine Copilot output together after a brainstorming session. Which feature is most relevant?,Sensitivity label removal,Device management,Copilot Pages,Passkeys,C,Copilot Pages enables collaborative editing and refinement of AI-assisted content.
Draft and analyze business content by using AI,Meetings and collaboration,How can Copilot memory and instructions improve future responses?,By giving access to restricted files,By helping personalize responses based on saved preferences and guidance where available,By publishing all previous chats,By ignoring user preferences,B,Memory and instructions can help tailor responses while still respecting controls.
Draft and analyze business content by using AI,Meetings and collaboration,A user gives Copilot a standing instruction to write in a concise executive tone. What does this affect?,Future response style where instructions are applied,SharePoint permissions,Meeting recording quality,License assignment,A,"Instructions can guide tone, format, and preferences in future interactions."
Draft and analyze business content by using AI,Meetings and collaboration,Which meeting-related output should still be verified before distribution?,The number of attendees only,The color of a Teams icon,The meeting duration shown in a calendar,"Action items, decisions, owners, and deadlines",D,Meeting summaries can contain errors and should be reviewed before sharing.
Draft and analyze business content by using AI,Meetings and collaboration,"A manager wants to prepare for a meeting using emails, files, and prior notes. What should the prompt include?",Unrelated personal data,A request to bypass access controls,The meeting goal and relevant resources to summarize or review,Only a blank message,C,Relevant context helps Copilot prepare useful meeting materials.
