Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Plan and configure agent solutions,Create and monitor agent flows in Copilot Studio,A flow sometimes fails when the CRM API times out. What should be implemented?,"Error handling with retry, user-friendly failure messages, and escalation",Delete all output parameters,Disable monitoring,Ignore the error and pretend success,A,Error handling is required for resilient agent flows.
Plan and configure agent solutions,Create and monitor agent flows in Copilot Studio,Why monitor agent flows after deployment?,To disable connectors,To remove all user feedback,To avoid testing,"To detect failures, latency, usage patterns, and process bottlenecks",D,Monitoring helps maintain reliability and improve flow performance.
Plan and configure agent solutions,Create and monitor agent flows in Copilot Studio,A topic needs to pass the customer's email and order number into a lookup flow. What should be added?,Adaptive card images only,A generic fallback topic,Input parameters,A channel icon,C,Input parameters pass data into actions or flows.
Plan and configure agent solutions,Create and monitor agent flows in Copilot Studio,A flow returns order status and delivery date to the agent. What should be defined?,A Teams channel description,Output parameters,Only a topic name,A custom avatar,B,Output parameters return structured results from flows.
Plan and configure agent solutions,Create and monitor agent flows in Copilot Studio,A human reviewer rejects an agent-generated contract response. What should the flow do?,Notify the user or route for correction according to the business process,Disable approvals permanently,Delete the audit trail,Send the rejected response anyway,A,"Human-in-the-loop flows need paths for approval, rejection, and correction."
Plan and configure agent solutions,Configure topics,A topic should create a service request after collecting issue details. What should be added to the topic?,A repository star,A tenant logo,A static image only,An agent flow,D,Agent flows can be invoked from topics to run business processes.
Plan and configure agent solutions,Configure topics,A customer asks for a comparison table of support plans. What response feature is useful?,A hidden connector password,A random fallback topic,Configured response formatting,A deployment channel only,C,"Formatting helps responses appear clearly as lists, tables, or structured messages."
Plan and configure agent solutions,Configure topics,"A topic needs to call an order lookup tool, a knowledge source, and a summarization prompt. What should be configured?",Only the topic trigger phrase,Tools within the topic,Only a static response,Only channel analytics,B,Topics can use tools to perform actions and retrieve information.
Plan and configure agent solutions,Configure topics,A user asks a complex question that requires a custom prompt to produce a structured answer. What should be configured?,An advanced agent response with a custom prompt,A deleted variable,A public deployment channel,A connector with no parameters,A,Custom prompts can shape advanced responses.
Plan and configure agent solutions,Configure topics,A topic should answer from approved product manuals. What advanced response configuration is most relevant?,No grounding source,A random public web search only,A hardcoded joke response,Custom knowledge sources,D,Knowledge sources ground responses in approved content.
Plan and configure agent solutions,Configure topics,A topic must call an external REST endpoint directly to calculate warranty status. What should be configured?,Only adaptive card colors,Only topic fallback,API or Send HTTP request capability,Only a renamed chat,C,HTTP/API actions allow integration with external services.
Plan and configure agent solutions,Configure topics,An agent should generate grounded answers from knowledge when no specific authored topic matches. Which node is relevant?,A deleted variable,Generative answers node,A static greeting node only,An empty adaptive card,B,Generative answers can respond from configured knowledge sources.
Plan and configure agent solutions,Configure topics,"A topic should show order details with buttons for Confirm, Cancel, and Contact Support. What should be used?",Adaptive cards,Plain text only with no buttons,A knowledge source only,A model router only,A,Adaptive cards provide interactive structured UI.
Plan and configure agent solutions,Configure topics,A topic collects a user's region and uses it later for routing. What should be configured?,A public website channel only,A static logo,An unmanaged API key in a prompt,Variables,D,Variables store values during the conversation.
Plan and configure agent solutions,Configure topics,A topic uses a variable containing customer type to choose a premium support path. What is this an example of?,A channel deployment issue,A model evaluation method,Conversation state driving conditional logic,A connector license report,C,Variables can control branching and personalization.
Integrate and extend agents in Copilot Studio,Connect to enterprise knowledge sources,An agent must answer from SharePoint procedures and Dataverse records. What should be configured?,A public anonymous web scrape only,Enterprise knowledge sources with proper permissions,A local file on one user's desktop,A static response for every question,B,Enterprise knowledge sources ground answers in managed business data.
Integrate and extend agents in Copilot Studio,Connect to enterprise knowledge sources,A company wants agent answers to include data available through Microsoft Graph connectors. What should be used?,Copilot connectors,Only a public website channel,Only adaptive cards,Only manual copy-paste,A,Copilot connectors can expose enterprise data to Copilot experiences.
Integrate and extend agents in Copilot Studio,Connect to enterprise knowledge sources,An agent needs to create a row in Dataverse and send an approval email. Which connectors are relevant?,Azure AI Search only,Static topic triggers only,A manually attached PDF,Microsoft Power Platform connectors,D,"Power Platform connectors enable integration with Dataverse, Outlook, approvals, and other services."
Integrate and extend agents in Copilot Studio,Connect to enterprise knowledge sources,A large document corpus needs semantic retrieval for grounded answers. Which service is appropriate?,A Teams emoji set,A local screenshot folder,Azure AI Search,A single hardcoded response,C,Azure AI Search supports retrieval over indexed enterprise content.
Integrate and extend agents in Copilot Studio,Add tools to agents,An agent must interact with a legacy web portal that has no API. What tool capability may be appropriate?,A user profile picture,Computer use for app or website automation,A static Markdown response only,A deleted connector,B,"Computer use can automate UI interactions where APIs are unavailable, if governed carefully."
Integrate and extend agents in Copilot Studio,Add tools to agents,Why should computer use be monitored carefully?,It can perform actions in apps or websites and may affect real business data,It only changes text color,It disables audit requirements,It cannot interact with systems,A,Computer use can create operational risk and needs monitoring.
Integrate and extend agents in Copilot Studio,Add tools to agents,An enterprise exposes standardized tools through Model Context Protocol. What should the Copilot Studio agent configure?,Adaptive card fonts,A static topic only,A generic fallback phrase,MCP tools,D,MCP tools allow agents to use standardized external tool interfaces.
Integrate and extend agents in Copilot Studio,Add tools to agents,A team already has a certified custom connector for inventory lookup. How should it be reused?,Copy the API key into every topic,Avoid using connectors,Add the tool using the existing custom connector,Rewrite it as a hardcoded prompt,C,Existing custom connectors can be reused as tools.
Integrate and extend agents in Copilot Studio,Add tools to agents,An agent must retrieve shipping rates from an external REST service. What should be added?,A static knowledge-only response,A REST API tool or custom connector,A prompt with no source,A channel icon,B,REST APIs can extend agents with live external data.
Integrate and extend agents in Copilot Studio,Add tools to agents,An API requires orderId as input and returns rate and ETA. What design detail is important?,"Define schema, input parameters, output parameters, authentication, and error handling",Return only raw unparsed text always,Use no authentication,Ignore the API schema,A,Good API tool design requires structured parameters and security.
Integrate and extend agents in Copilot Studio,Configure multi-agent collaboration from Copilot Studio,"A complex solution uses separate billing, support, and logistics agents. What must be designed?",No ownership between agents,One agent that guesses every answer without routing,A public FAQ only,"Multi-agent collaboration, routing, responsibility boundaries, and handoff rules",D,Multi-agent solutions need orchestration and clear responsibilities.
Integrate and extend agents in Copilot Studio,Configure multi-agent collaboration from Copilot Studio,A Copilot Studio agent should delegate specialized reasoning to a Foundry agent. What is being integrated?,A Teams emoji pack,A static topic trigger,A Foundry agent,A PowerPoint theme,C,Foundry agents can be integrated for specialized AI capabilities.
Integrate and extend agents in Copilot Studio,Configure multi-agent collaboration from Copilot Studio,A company already has an agent in Copilot Studio and wants to reuse it in a larger solution. What should be planned?,Disabling all connectors,Integration of the existing agent,Using only static responses,Deletion and rebuilding from scratch every time,B,Existing agents can be integrated into broader solutions.
Integrate and extend agents in Copilot Studio,Configure multi-agent collaboration from Copilot Studio,A data team built a Fabric data agent that answers questions over governed analytics data. How can it support a Copilot Studio solution?,Integrate the Fabric data agent for analytics-focused answers,Copy all analytics data into prompts manually,Avoid governance controls,Expose unrestricted raw data to every user,A,Fabric data agents can provide analytics capabilities in multi-agent solutions.
Integrate and extend agents in Copilot Studio,Configure multi-agent collaboration from Copilot Studio,A multi-agent architecture must allow agents to communicate using an agent-to-agent standard. What protocol is relevant?,A single static topic,SMTP only,PNG format,A2A protocol,D,A2A protocol supports agent-to-agent collaboration scenarios.
Integrate and extend agents in Copilot Studio,Configure multi-agent collaboration from Copilot Studio,Which risk is most important in multi-agent orchestration?,The number of avatar images,The font size in responses,"Unclear ownership, unsafe delegation, data leakage, and inconsistent responses",Too many welcome messages only,C,"Multi-agent systems require strong orchestration, security, and responsibility boundaries."
Integrate and extend agents in Copilot Studio,Integrate agents with Azure,An agent needs grounded answers from a large indexed policy library. What Azure service can support this?,A static Word template,Azure AI Search,Azure virtual desktop wallpaper,Azure Monitor color themes,B,Azure AI Search supports retrieval for grounding.
Integrate and extend agents in Copilot Studio,Integrate agents with Azure,A solution uses Foundry with Azure AI Search for generative answers. What is the purpose?,Ground generated answers in indexed enterprise content,Disable grounding completely,Replace authentication with anonymous access,Use only static canned responses,A,Azure AI Search can ground generative answers in retrieved content.
Integrate and extend agents in Copilot Studio,Integrate agents with Azure,A custom prompt needs a specific model from the Foundry model catalog. What should be configured?,A Teams channel icon,A deleted connector,A manually typed response only,Custom prompt to use the selected Foundry model,D,Foundry model catalog can provide model choices for custom prompts.
Integrate and extend agents in Copilot Studio,Integrate agents with Azure,An operations team wants detailed runtime telemetry for an agent. What monitoring service is relevant?,A topic greeting,A PowerPoint animation,Application Insights,A static PDF export,C,Application Insights can help monitor application and agent telemetry.
Integrate and extend agents in Copilot Studio,Integrate agents with Azure,Telemetry shows frequent API action failures. What should the team investigate?,Only response font choice,"Connector/API errors, authentication failures, timeouts, and flow error handling",Only adaptive card color,Only the agent description,B,Telemetry can expose integration failures that require tuning.
Integrate and extend agents in Copilot Studio,Integrate agents with Azure,A knowledge index returns stale answers. What should be checked?,"Index freshness, source synchronization, data quality, and retrieval configuration",The user's screen size,The Teams ringtone,The agent avatar only,A,Grounding quality depends on index freshness and source data quality.
Test and manage agents,Evaluate agent performance,A team wants to evaluate whether an agent handles common customer scenarios correctly. What should they create?,Only a single greeting test,A random list of screenshots,A public marketing page,A test set with representative questions and expected outcomes,D,Test sets provide repeatable evaluation cases.
Test and manage agents,Evaluate agent performance,What should be included in a strong agent test set?,Only happy path questions,Only one administrator prompt,"Common cases, edge cases, unsafe prompts, expected answers, and success criteria",Only jokes and greetings,C,"A strong test set covers functionality, safety, and edge cases."
Test and manage agents,Evaluate agent performance,An agent must be tested for grounded answer quality. Which evaluation method helps?,Only count how long the answer is,Compare answers against approved sources and citation expectations,Only check if the bot icon loads,Only test the welcome message,B,Groundedness evaluation checks whether responses are supported by sources.
Test and manage agents,Evaluate agent performance,"A company wants automated scoring of response relevance, groundedness, and safety. What should they choose?",An evaluation method aligned to quality and risk criteria,Only channel deployment testing,No evaluation because agents are AI-powered,Only manual color review,A,Evaluation should measure the criteria that matter for the agent.
Test and manage agents,Evaluate agent performance,Test results show the agent often chooses the wrong topic for refund requests. What should be tuned?,Only the agent description font,Only the Teams app icon,Only channel publishing settings,"Topic trigger phrases, routing logic, and intent handling",D,Incorrect routing suggests topic and intent tuning are needed.
Test and manage agents,Evaluate agent performance,A test result shows the agent returns correct data but in an unusable format. What should be adjusted?,Identity provider settings only,Model access removal,Response formatting or adaptive card design,Knowledge source deletion,C,Usability issues may require formatting changes.
Test and manage agents,Evaluate agent performance,A test case tries to make the agent reveal hidden instructions. What risk is being evaluated?,Normal greeting quality,Prompt injection and instruction leakage,Theme color accessibility only,Channel icon display,B,Security testing should include adversarial prompts.
Test and manage agents,Evaluate agent performance,A test set shows high accuracy but poor latency when calling three APIs. What should be reviewed?,"Tool design, API performance, caching, timeouts, and orchestration",Only response tone,Only user avatar images,Only greeting wording,A,Latency issues often come from integration and orchestration design.
Test and manage agents,Evaluate agent performance,Why review test results before publishing an agent?,To remove all governance controls,To publish faster without quality checks,To avoid monitoring after release,"To identify failures, safety risks, grounding problems, and needed tuning",D,Reviewing results helps improve quality and safety before release.
Test and manage agents,Evaluate agent performance,An agent works for internal users but fails for external users. What should be reviewed?,Only the internal user's browser theme,Only the number of topics,"Audience-specific authentication, channel configuration, knowledge access, and permissions",Only the agent name,C,Different audiences can have different access and channel requirements.
Test and manage agents,Evaluate agent performance,What metric is useful for monitoring production agent performance?,The size of the logo file only,"Containment rate, escalation rate, failure rate, latency, and user satisfaction",The agent author's favorite app,Number of desktop wallpapers,B,"Production monitoring should track quality, usage, and performance metrics."
Test and manage agents,Evaluate agent performance,A reviewer sees that answers are correct but violate the company's required tone. What should be tuned?,"Instructions, response formatting, and prompt guidance",Connector ownership only,API authentication only,Azure region only,A,Tone and communication style are controlled through instructions and prompts.
