Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Understand Git and GitHub basics,Working with GitHub,Which statement best describes Markdown?,A lightweight syntax for formatting plain text,A GitHub billing plan,A branch protection rule,A compiled programming language,A,Markdown is used to format text in files and comments.
Understand Git and GitHub basics,Working with GitHub,Which Markdown syntax creates a heading?,# Heading,@Heading,$Heading,!Heading,A,The # symbol creates headings in Markdown.
Understand Git and GitHub basics,Working with GitHub,Why might a beginner use GitHub Desktop?,To perform Git tasks with a visual interface,To enforce enterprise identity policies,To host a production database,To create organization invoices,A,GitHub Desktop simplifies common Git workflows through a GUI.
Understand Git and GitHub basics,Working with GitHub,Which GitHub option is best for a company managing many teams and repositories?,Organization or Enterprise account,Single anonymous gist,Only a personal README,GitHub Mobile only,A,"Organizations and enterprises provide team, repository, and policy management."
Understand Git and GitHub basics,Working with GitHub,What is a profile README used for?,Displaying information on a user's GitHub profile,Encrypting repository branches,Managing project workflows,Replacing 2FA,A,"A profile README can introduce a user, work, or projects on their profile page."
Work with GitHub repositories,Repository management,Which file usually explains how others can report vulnerabilities?,SECURITY.md,README.tmp,billing.json,stars.csv,A,SECURITY.md usually describes security reporting and support policies.
Work with GitHub repositories,Repository management,Which file usually explains community behavior expectations?,CODE_OF_CONDUCT.md,CODEOWNERS,package-lock.json,index.html,A,A code of conduct defines expected behavior for project participants.
Work with GitHub repositories,Repository management,Why should a repository have a clear README?,To help users understand the project quickly,To automatically approve all pull requests,To make every branch protected,To disable repository traffic metrics,A,"README documentation helps users and contributors understand purpose, setup, and usage."
Work with GitHub repositories,Repository management,What does archiving a repository usually indicate?,The project is read-only or no longer actively maintained,The repository has been starred,The repository became a GitHub Project,The repository can no longer be viewed by admins,A,Archived repositories are generally read-only and signal inactive maintenance.
Work with GitHub repositories,Repository management,What is a repository topic used for?,Helping classify and discover repositories by subject,Creating a required reviewer,Replacing the LICENSE file,Disabling Actions,A,Topics improve repository discovery and organization.
Work with GitHub repositories,Repository management,Why use branches for repository organization?,"To separate work for features, fixes, or experiments",To remove the need for commits,To prevent collaboration,To store organization billing records,A,Branches keep work isolated until it is ready to review and merge.
Work with GitHub repositories,Repository management,What is the benefit of using repository templates?,They standardize new projects and reduce setup time,They remove all issues automatically,They create passkeys for every member,They replace organizations,A,Templates make it easier to create consistent repositories.
Work with GitHub repositories,Repository management,What should you avoid committing to a repository?,Secrets such as passwords or API keys,README files,Source code,License files,A,Secrets should not be committed because they can expose systems or data.
Work with GitHub repositories,Repository management,Which GitHub feature can show who contributed to a repository?,Contributors insights,Passkeys,GitHub Mobile settings,Saved replies,A,Repository insights can show contributor activity.
Work with GitHub repositories,Repository management,What does repository traffic insight help show?,Views and clones over time,User password strength,Private email addresses of visitors,Local CPU usage,A,Traffic insights can show repository views and clone activity.
Work with GitHub repositories,Repository management,Why are dependency updates important?,"They can reduce bugs, compatibility issues, and security risks",They make issues invisible,They automatically increase stars,They replace code review,A,Keeping dependencies current helps maintain reliability and security.
Work with GitHub repositories,Repository management,Which practice improves repository collaboration?,"Use clear documentation, templates, labels, reviews, and contribution guidelines",Disable all issues and pull requests forever,Store passwords in README files,Never use branches,A,Good repository structure and collaboration standards help teams work effectively.
Collaborate using GitHub,Collaboration tools,What should an issue title usually be?,Clear and specific enough to understand the problem or task,Empty,A random emoji only,The full repository history,A,Clear titles make issues easier to scan and manage.
Collaborate using GitHub,Collaboration tools,What is the purpose of labels on issues and pull requests?,To categorize and filter work,To create user accounts,To enable 2FA,To publish GitHub Pages,A,"Labels help classify work such as bug, enhancement, documentation, or priority."
Collaborate using GitHub,Collaboration tools,Why use milestones with issues and pull requests?,To group work toward a release or goal,To change a user's password,To create a fork,To hide repository activity,A,Milestones help track progress toward a defined objective.
Collaborate using GitHub,Collaboration tools,What does requesting a review on a pull request do?,Asks specific people or teams to review the proposed changes,Deletes the branch immediately,Turns the repository public,Creates a GitHub Marketplace app,A,Review requests make responsibilities clear during collaboration.
Collaborate using GitHub,Collaboration tools,What does approving a pull request usually mean?,The reviewer accepts the proposed changes,The repository is archived,The issue is automatically deleted,The user becomes an organization owner,A,Approval indicates the reviewer supports merging the changes.
Collaborate using GitHub,Collaboration tools,What is a pull request comment useful for?,Discussing specific changes or asking questions during review,Creating a passkey,Changing enterprise billing,Deleting a repository topic,A,Comments support collaboration and feedback on proposed changes.
Collaborate using GitHub,Collaboration tools,Which feature helps users control how much activity they are alerted about?,Notification settings,Repository stars,Gists,License files,A,Notification settings help users manage alerts and workflow focus.
Collaborate using GitHub,Collaboration tools,What does watching a repository do?,Subscribes the user to repository notifications based on selected settings,Creates a fork,Approves all pull requests,Turns on Copilot automatically,A,Watching allows users to receive notifications about repository activity.
Collaborate using GitHub,Collaboration tools,What is a good use for a GitHub Wiki?,Detailed project documentation that may span multiple pages,Secret storage,User billing management,Compiling mobile apps,A,Wikis are useful for long-form or multi-page documentation.
Collaborate using GitHub,Collaboration tools,What is a good use for GitHub Pages?,Publishing documentation or static websites from a repository,Creating issue labels,Managing enterprise users,Changing organization roles,A,GitHub Pages hosts static content from repositories.
Collaborate using GitHub,Collaboration tools,What is a good use for a public Gist?,Sharing a short reusable snippet or example,Managing all repository permissions,Replacing a full organization,Storing production passwords,A,Gists are useful for small pieces of shareable text or code.
Collaborate using GitHub,Collaboration tools,What is the benefit of assigning issues?,It clarifies ownership and responsibility,It hides work from collaborators,It disables notifications,It creates a new branch automatically,A,Assignments help teams know who is handling specific work.
Apply modern development practices,Automation and AI tools,Which file type is commonly used to define GitHub Actions workflows?,YAML,JPEG,MP3,EXE only,A,GitHub Actions workflows are commonly defined in YAML files.
Apply modern development practices,Automation and AI tools,Where are GitHub Actions workflow files usually stored?,.github/workflows,/billing/settings,/stars/list,/mobile/app,A,Workflow files are typically stored in the .github/workflows directory.
Apply modern development practices,Automation and AI tools,Which event can commonly trigger a GitHub Actions workflow?,A push or pull request,A profile picture view,A repository star only with no configuration,A mobile battery alert,A,"Workflows can run on events such as push, pull_request, schedule, or manual dispatch."
Apply modern development practices,Automation and AI tools,What is continuous integration?,Automatically building and testing changes to catch problems early,Manually copying files into a README,Making all repositories public,Deleting branches without review,A,CI helps validate code changes automatically.
Apply modern development practices,Automation and AI tools,What is continuous deployment?,Automatically releasing validated changes to an environment,Blocking all pull requests permanently,Creating a GitHub profile README,Changing issue labels manually,A,Continuous deployment automates release after validation.
Apply modern development practices,Automation and AI tools,How can Copilot help with learning unfamiliar code?,"By suggesting explanations, summaries, and possible code changes",By replacing all repository permissions,By guaranteeing bug-free code,By automatically changing billing plans,A,"Copilot can assist with understanding and modifying code, but users must review output."
Apply modern development practices,Automation and AI tools,Why should Copilot suggestions be reviewed?,"AI suggestions may be incomplete, incorrect, or unsuitable for the project",GitHub does not allow reviews,Suggestions cannot contain code,Copilot only works for images,A,Developers remain responsible for validating AI-generated suggestions.
Apply modern development practices,Automation and AI tools,What is a benefit of Codespaces for onboarding?,New contributors can get a ready-to-use development environment faster,It removes all need for documentation,It makes every repository public,It disables GitHub Actions,A,Codespaces can reduce local setup friction.
Apply modern development practices,Automation and AI tools,What can a devcontainer.json file define?,"Tools, extensions, settings, and environment configuration",Issue labels only,Repository stars,GitHub Sponsors tiers,A,devcontainer.json describes how the development container should be configured.
Apply modern development practices,Automation and AI tools,When is github.dev a good choice?,For quick edits directly in the browser,For running resource-heavy builds by default,For enterprise identity provisioning,For managing billing invoices,A,github.dev is useful for lightweight browser editing.
Apply modern development practices,Automation and AI tools,When is Codespaces a better choice than github.dev?,When you need a complete cloud development environment with terminal and compute,When you only need to star a repository,When you need to follow a user,When you want to create a passkey,A,Codespaces provides a fuller development environment than github.dev.
Apply modern development practices,Automation and AI tools,What is an important benefit of automation in development workflows?,It improves consistency and reduces repetitive manual work,It removes all human responsibility,It guarantees perfect software,It prevents collaboration,A,Automation helps teams repeat processes consistently.
Manage projects with GitHub,Project Tracking and organization,What is a project item?,"An issue, pull request, draft issue, or tracked item in a GitHub Project",A repository password,A Git branch only,A GitHub Marketplace app,A,Projects track different work items.
Manage projects with GitHub,Project Tracking and organization,Why use custom fields in GitHub Projects?,"To track metadata such as status, priority, size, or team",To store private passwords,To change repository visibility,To enable passkeys,A,Custom fields allow teams to model work in ways that fit their process.
Manage projects with GitHub,Project Tracking and organization,What is a board layout useful for?,"Viewing work grouped into columns such as Todo, In Progress, and Done",Editing SSH keys,Changing account email,Creating GitHub Sponsors profiles,A,Board views help visualize workflow status.
Manage projects with GitHub,Project Tracking and organization,What is a table layout useful for?,Viewing and editing many project fields in a structured grid,Running local Git commands,Generating passkeys,Publishing static websites only,A,Table views are useful for detailed project tracking.
Manage projects with GitHub,Project Tracking and organization,How can workflows improve GitHub Projects?,By automatically updating project fields or item status,By removing all repository permissions,By replacing the README file,By blocking all notifications,A,Workflows reduce manual project maintenance.
Manage projects with GitHub,Project Tracking and organization,Why are saved replies helpful in busy repositories?,They reduce repeated typing and keep responses consistent,They merge pull requests automatically,They delete stale branches,They create organization roles,A,Saved replies are reusable comment templates.
Manage projects with GitHub,Project Tracking and organization,What is the purpose of assignees in project tracking?,To show who is responsible for a task or review,To encrypt the issue body,To hide the project from owners,To create a fork,A,Assignees clarify ownership.
Manage projects with GitHub,Project Tracking and organization,What can project insights reveal?,"Trends in progress, completion, and workload",Private user passwords,Exact visitor identities,Local disk health,A,Project insights help teams evaluate progress and productivity.
"Understand privacy, security, and administration",Security and access management,Which authentication practice is safer than using only a password?,Two-factor authentication,Making all repositories public,Using no branch protection,Sharing one account,A,2FA adds a second verification factor to reduce account compromise risk.
"Understand privacy, security, and administration",Security and access management,Why are passkeys considered phishing-resistant?,They use cryptographic authentication tied to the legitimate service,They are stored in README files,They are shared by all organization members,They disable encryption,A,Passkeys reduce phishing risk because they do not rely on typing a reusable password into a site.
"Understand privacy, security, and administration",Security and access management,What should least privilege mean in GitHub administration?,Give users only the access they need to do their work,Make everyone an owner,Disable all repository permissions,Allow public access to all private repositories,A,Least privilege limits unnecessary access.
"Understand privacy, security, and administration",Security and access management,Which role usually has the broadest control in an organization?,Owner,Read-only collaborator,Outside contributor,Guest viewer only,A,Organization owners have broad administrative control.
"Understand privacy, security, and administration",Security and access management,Why use teams instead of assigning permissions one user at a time?,Teams make permission management easier and more consistent,Teams remove the need for authentication,Teams make all repositories public,Teams disable pull requests,A,Teams help manage access at scale.
"Understand privacy, security, and administration",Security and access management,What does branch protection help prevent?,Unreviewed or failing changes from being merged into important branches,Users from creating README files,Issues from being labeled,Markdown from rendering,A,Branch protection enforces rules before changes can be merged.
"Understand privacy, security, and administration",Security and access management,Which control can require automated checks before merging?,Required status checks,Repository stars,User followers,Gists,A,Required status checks can ensure tests or workflows pass before merge.
"Understand privacy, security, and administration",Security and access management,Why manage Copilot policies at the organization level?,"To align AI assistance with company rules, security, and licensing requirements",To force every repository to be public,To delete all workflow runs,To remove all documentation,A,Organization-wide policy management supports governance of Copilot use.
"Understand privacy, security, and administration",Security and access management,What is a repository collaborator?,A user granted access to work on a repository,A GitHub Marketplace app,A branch protection rule,A GitHub Pages domain,A,Collaborators are users who have been given repository access.
"Understand privacy, security, and administration",Security and access management,What is the safest repository visibility for sensitive private code?,Private,Public,Trending,Sponsored,A,Private visibility restricts access to authorized users.
"Understand privacy, security, and administration",Security and access management,Why should admins periodically review member access?,To remove unnecessary access and keep permissions accurate,To increase every user's role,To make all forks private automatically,To disable all notifications,A,Access reviews help reduce security risk.
"Understand privacy, security, and administration",Security and access management,What should be configured to protect important production branches?,Branch protection rules,Repository stars,Public gists,Profile README,A,Branch protection rules help safeguard important branches.
Explore the GitHub community,Open-source engagement,What does contributing to open source help developers do?,"Learn, collaborate, build reputation, and improve shared software",Automatically become organization owners,Avoid all code review,Bypass licensing rules,A,"Open-source contribution supports learning, collaboration, and software improvement."
Explore the GitHub community,Open-source engagement,Why is a license important in an open-source project?,"It explains how others may use, modify, and distribute the code",It stores passwords,It creates project workflows,It automatically fixes bugs,A,A license defines usage permissions and obligations.
Explore the GitHub community,Open-source engagement,What is the purpose of contribution guidelines in open source?,To explain how people should report issues and submit changes,To block all public users,To remove the need for reviews,To hide project goals,A,Contribution guidelines help contributors participate effectively.
Explore the GitHub community,Open-source engagement,What is a fork commonly used for in open source?,Making changes independently before proposing them upstream,Deleting the original repository,Becoming the repository owner automatically,Removing the project license,A,Forks support independent experimentation and contribution through pull requests.
Explore the GitHub community,Open-source engagement,What is the upstream repository?,The original or main repository a fork is based on,A GitHub Marketplace invoice,A local-only branch,A private notification setting,A,The upstream repository is the source project that a fork commonly tracks.
Explore the GitHub community,Open-source engagement,Why follow an organization?,To stay updated about its public repositories and activity,To gain admin rights,To access private secrets automatically,To bypass 2FA,A,Following helps users discover updates and activity.
Explore the GitHub community,Open-source engagement,What can GitHub Marketplace help teams find?,"Integrations, GitHub Actions, and productivity tools",Private user passwords,Local device drivers only,Repository owners' personal addresses,A,Marketplace provides apps and tools that extend GitHub workflows.
Explore the GitHub community,Open-source engagement,What is InnerSource intended to improve?,Internal collaboration and reuse using open-source-style practices,Public access to all company secrets,Anonymous administration,Removal of documentation,A,InnerSource applies open collaboration practices inside organizations.
Explore the GitHub community,Open-source engagement,Why make a repository discoverable when appropriate?,"To help others find, use, and contribute to it",To prevent anyone from reading the README,To disable forks permanently,To hide the project from search,A,Discoverability helps attract users and collaborators.
Explore the GitHub community,Open-source engagement,When should a template repository be used by a community?,When many projects should start from the same structure or boilerplate,When reporting phishing,When enforcing 2FA,When creating a passkey,A,Template repositories help communities share reusable project structure.
