Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Work with GitHub repositories,Repository management,What is the purpose of a LICENSE file?,"To explain the legal terms for using, modifying, and sharing the project",To list all pull request reviewers,To store repository secrets,To configure GitHub Mobile,A,A license tells others what they are allowed to do with the project.
Work with GitHub repositories,Repository management,What does a CONTRIBUTING file usually describe?,"Guidelines for reporting issues, proposing changes, and submitting pull requests",The project password policy only,A list of GitHub Sponsors,The number of repository stars,A,CONTRIBUTING helps standardize how people contribute to a project.
Work with GitHub repositories,Repository management,What is the purpose of a CODEOWNERS file?,To automatically request reviews from responsible people or teams for specific files,To define project colors,To delete unused branches automatically,To create GitHub Pages themes,A,CODEOWNERS maps paths to users or teams responsible for reviewing changes.
Work with GitHub repositories,Repository management,What is a SECURITY file commonly used for?,To explain how to report security vulnerabilities responsibly,To store plaintext passwords,To enable GitHub Desktop,To change the repository name,A,A SECURITY policy explains supported versions and vulnerability reporting instructions.
Work with GitHub repositories,Repository management,What is a repository template useful for?,Creating new repositories with a predefined structure and files,Preventing all pull requests,Changing a public repo to a gist,Disabling Markdown rendering,A,Templates help teams create consistent repositories faster.
Work with GitHub repositories,Repository management,How can files be added to a GitHub repository?,"By uploading in the web UI, committing locally with Git, or using supported editors",Only by sending an email to GitHub,Only by creating a milestone,Only through GitHub Sponsors,A,GitHub supports several ways to add and manage repository files.
Work with GitHub repositories,Repository management,What are repository Insights used for?,"Viewing activity, contributors, traffic, forks, and other repository metrics",Creating passkeys,Replacing code review,Hiding all branch history,A,Insights provide visibility into repository activity and health.
Work with GitHub repositories,Repository management,What does starring a repository usually mean?,A user bookmarks or shows interest in the repository,The repository is automatically private,The repository is deleted after 30 days,All issues are closed,A,Stars are commonly used to bookmark or signal interest in repositories.
Work with GitHub repositories,Repository management,What can dependency insights help identify?,Dependencies and potential dependency-related risks or updates,Only repository profile pictures,The author of every comment,Mobile device battery status,A,Dependency insights help maintain visibility into software dependencies.
Work with GitHub repositories,Repository management,Which practice helps maintain a healthy repository?,"Keeping documentation, issue templates, dependencies, and branches organized",Never reviewing pull requests,Committing secrets to simplify setup,Avoiding README files,A,"Maintenance includes documentation, reviews, branch hygiene, and dependency care."
Collaborate using GitHub,Collaboration tools,What are GitHub Issues primarily used for?,"Tracking tasks, bugs, ideas, and discussions about work",Storing compiled binaries only,Managing payment cards,Creating SSH keys automatically,A,Issues are a common way to track work and conversations.
Collaborate using GitHub,Collaboration tools,What is a pull request used for?,"Proposing, discussing, reviewing, and merging changes",Deleting an organization,Creating a personal access token only,Buying GitHub Sponsors memberships,A,Pull requests are central to code review and collaborative changes.
Collaborate using GitHub,Collaboration tools,What are GitHub Discussions best suited for?,"Open-ended conversations, Q&A, announcements, and community discussion",Replacing every commit,Encrypting branch names,Running local unit tests only,A,Discussions support community-style collaboration outside issue tracking.
Collaborate using GitHub,Collaboration tools,Why link a pull request to an issue?,To connect code changes to tracked work and optionally close the issue when merged,To make the pull request private,To disable comments,To remove all labels,A,Linking PRs and issues improves traceability and project tracking.
Collaborate using GitHub,Collaboration tools,What is the purpose of issue and pull request templates?,To guide contributors to provide consistent useful information,To prevent all external contributions,To increase repository storage,To replace repository permissions,A,Templates standardize information submitted by contributors.
Collaborate using GitHub,Collaboration tools,How can filters help on GitHub issue and pull request lists?,"They narrow results by state, author, label, milestone, assignee, and other criteria",They compile source code,They create passkeys,They remove repository history,A,Filters help users quickly find relevant work items.
Collaborate using GitHub,Collaboration tools,What does assigning someone to an issue or pull request indicate?,That the person is responsible for or involved in the work,That the person owns GitHub,That all notifications are disabled,That the repository is archived,A,Assignees clarify responsibility.
Collaborate using GitHub,Collaboration tools,What are notifications used for?,Keeping users informed about repository activity and conversations that matter to them,Automatically writing README files,Replacing repository roles,Deleting completed milestones,A,Notifications help users manage collaboration activity.
Collaborate using GitHub,Collaboration tools,What is a GitHub Gist commonly used for?,"Sharing code snippets, notes, or small examples",Managing organization billing only,Hosting enterprise policies only,Replacing all repositories,A,Gists are useful for sharing small pieces of content.
Collaborate using GitHub,Collaboration tools,What is a repository Wiki commonly used for?,Maintaining project documentation pages connected to a repository,Running CI pipelines,Creating user passkeys,Storing billing invoices,A,Wikis are used for documentation beyond the README.
Collaborate using GitHub,Collaboration tools,What is GitHub Pages used for?,Publishing static websites from a repository,Encrypting all pull requests,Creating branch protection rules only,Managing organization teams only,A,"GitHub Pages hosts static sites such as documentation, portfolios, and project pages."
Apply modern development practices,Automation and AI tools,What is GitHub Actions used for?,"Automating workflows such as CI, testing, deployment, and repository tasks",Creating organization invoices,Replacing Git completely,Only editing Markdown previews,A,GitHub Actions automates event-driven workflows in repositories.
Apply modern development practices,Automation and AI tools,What is a workflow in GitHub Actions?,An automated process defined by a YAML file in the repository,A repository star list,A user profile setting,A GitHub Sponsors payment,A,Workflows define jobs and steps that run on specific events.
Apply modern development practices,Automation and AI tools,What is GitHub Copilot primarily used for?,"AI-powered assistance for writing, explaining, and improving code",Hosting static websites only,Managing branch permissions only,Replacing all human review permanently,A,Copilot assists developers with code suggestions and related development tasks.
Apply modern development practices,Automation and AI tools,What is Copilot Agent Mode designed to help with?,Working more autonomously across coding tasks while still under developer control,Deleting all issues automatically,Replacing GitHub Organizations,Managing credit card details,A,Agentic Copilot features can help plan and make code changes with user supervision.
Apply modern development practices,Automation and AI tools,What does multi-model support in Copilot generally mean?,Users or organizations may access different AI models for coding assistance depending on availability and policy,Every repository must contain multiple README files,GitHub Actions must run on multiple operating systems only,Every issue must have multiple assignees,A,Multi-model support refers to using different AI models for assisted development.
Apply modern development practices,Automation and AI tools,"What is a key difference between Copilot Individual, Business, and Enterprise plans?","They provide different levels of management, policy, security, and organizational features",Only the color of the editor changes,Only Individual supports code suggestions,Enterprise cannot be used by organizations,A,Business and Enterprise plans include organization-focused policy and administration capabilities.
Apply modern development practices,Automation and AI tools,What are GitHub Codespaces?,Cloud-hosted development environments connected to repositories,A replacement for all repository issues,A GitHub mobile-only feature,A public discussion forum only,A,Codespaces provides configurable cloud dev environments.
Apply modern development practices,Automation and AI tools,What is a dev container used for?,"Defining a consistent development environment with tools, settings, and dependencies",Creating repository stars,Deleting unused organizations,Writing license terms automatically,A,Dev containers help standardize the environment used in Codespaces or compatible local tooling.
Apply modern development practices,Automation and AI tools,What is github.dev?,A lightweight browser-based editor for quickly editing repository files,A full cloud VM with terminal and compute by default,A billing dashboard,A GitHub Sponsors profile only,A,github.dev opens a repository in a browser editor for lightweight edits.
Apply modern development practices,Automation and AI tools,How does github.dev differ from Codespaces?,"github.dev is lightweight editing in the browser, while Codespaces provides a full cloud development environment",github.dev requires an enterprise account only,Codespaces cannot use repositories,There is no difference,A,"Codespaces includes compute, terminal, extensions, and dev environment configuration."
Manage projects with GitHub,Project Tracking and organization,What is GitHub Projects used for?,"Planning, tracking, and organizing work across issues, pull requests, and custom fields",Compiling source code only,Replacing repository licenses,Creating passkeys,A,Projects helps teams organize and track work.
Manage projects with GitHub,Project Tracking and organization,Which layouts are commonly associated with GitHub Projects?,"Table, board, and roadmap-style views","Audio, video, and image-only views","Password, token, and SSH-only views","Private, public, and secret-only views",A,Projects can show work in different layouts such as table and board views.
Manage projects with GitHub,Project Tracking and organization,What are labels used for?,Categorizing issues and pull requests,Encrypting repository files,Creating personal accounts,Running Codespaces billing,A,Labels help classify and filter work.
Manage projects with GitHub,Project Tracking and organization,What are milestones used for?,"Tracking progress toward a larger goal, release, or time-based target",Replacing all branches,Changing repository visibility,Creating GitHub Pages themes,A,Milestones group issues and pull requests toward a shared objective.
Manage projects with GitHub,Project Tracking and organization,What are project workflows used for?,"Automating project item behavior, such as status changes or field updates",Creating SSH keys,Deleting all repository stars,Publishing package releases only,A,Project workflows can automate organization of tracked work.
Manage projects with GitHub,Project Tracking and organization,What are saved replies useful for?,Quickly inserting reusable responses in issue or pull request comments,Automatically merging every pull request,Changing repository privacy,Creating enterprise accounts,A,Saved replies streamline repetitive communication.
Manage projects with GitHub,Project Tracking and organization,What can project insights help teams understand?,"Progress, workload, trends, and productivity signals",User passwords,Local CPU temperature,Repository encryption keys,A,Insights help teams evaluate project progress and work patterns.
"Understand privacy, security, and administration",Security and access management,What is two-factor authentication used for?,Adding an extra verification step to protect account sign-in,Making a repository public,Creating Markdown tables,Running all workflows faster,A,2FA improves account security by requiring more than a password.
"Understand privacy, security, and administration",Security and access management,What is a passkey?,A phishing-resistant sign-in method based on public-key cryptography,A repository README template,A branch name convention,A GitHub Pages domain only,A,Passkeys provide secure passwordless authentication.
"Understand privacy, security, and administration",Security and access management,Why are repository roles important?,They control what users can see and do in a repository,They change the programming language automatically,They remove the need for commits,They publish every branch to GitHub Pages,A,Roles and permissions manage access and actions in repositories.
"Understand privacy, security, and administration",Security and access management,Which repository visibility option allows anyone on the internet to view the repository?,Public,Private,Internal only,Secret-only,A,Public repositories are visible to everyone.
"Understand privacy, security, and administration",Security and access management,Which repository visibility option limits access to selected people or teams?,Private,Public,Trending,Sponsored,A,Private repositories restrict visibility to authorized users.
"Understand privacy, security, and administration",Security and access management,What is an internal repository typically used for?,Sharing code within an enterprise while keeping it hidden from the public,Publishing code to every internet user,Creating anonymous gists only,Disabling all access controls,A,Internal visibility is commonly available in enterprise contexts for organization-wide collaboration.
"Understand privacy, security, and administration",Security and access management,What do branch protection rules help enforce?,"Required reviews, status checks, and restrictions before changes are merged",Automatic deletion of all repositories,Public visibility for every project,Password rotation for users,A,Branch protection helps protect important branches from unsafe changes.
"Understand privacy, security, and administration",Security and access management,What are Enterprise Managed Users used for?,Centrally managing user identities and access for an enterprise,Letting anonymous users administer repositories,Creating local-only Git commits,Publishing static pages only,A,EMUs help enterprises control user identities and access centrally.
"Understand privacy, security, and administration",Security and access management,What can organization-wide Copilot policy management control?,"Copilot availability, settings, and usage policies for organization members",The color of all Git commits,The number of repository stars,The text of every README automatically,A,Organizations can manage Copilot policy settings for members.
"Understand privacy, security, and administration",Security and access management,What are teams in a GitHub organization used for?,"Grouping members to manage permissions, reviews, and collaboration",Creating public search rankings,Encrypting Markdown comments,Running mobile push notifications only,A,Teams simplify permission and collaboration management.
"Understand privacy, security, and administration",Security and access management,Why should organization settings be reviewed regularly?,"To maintain secure access, policies, member roles, and governance",To make every repository public,To delete all pull requests,To remove all documentation,A,Regular reviews help keep administration and security aligned with current needs.
Explore the GitHub community,Open-source engagement,What is a key benefit of open source?,"People can collaborate, learn, inspect, improve, and reuse software according to its license",Only one person can view the code,All projects must be private,Licenses are never needed,A,Open source enables transparent collaboration and reuse.
Explore the GitHub community,Open-source engagement,What is GitHub Sponsors used for?,Financially supporting developers and open-source maintainers,Creating branch protection rules,Running private unit tests,Deleting organization teams,A,GitHub Sponsors helps fund open-source work.
Explore the GitHub community,Open-source engagement,How does GitHub support open-source projects?,"By providing collaboration tools such as repositories, issues, pull requests, discussions, and visibility features",By preventing public repositories,By removing licenses from projects,By disabling forks,A,GitHub provides infrastructure and collaboration features for open-source communities.
Explore the GitHub community,Open-source engagement,Why follow users or organizations on GitHub?,To stay informed about their public activity and projects,To gain admin access automatically,To close their issues automatically,To make their repositories private,A,Following helps users discover activity from people and organizations they care about.
Explore the GitHub community,Open-source engagement,What is GitHub Marketplace used for?,"Finding apps, Actions, and tools that integrate with GitHub workflows",Buying computer hardware only,Creating personal passkeys only,Replacing all repositories,A,Marketplace helps users discover integrations and automation tools.
Explore the GitHub community,Open-source engagement,What is InnerSource?,Applying open-source collaboration practices inside an organization,Publishing every private repository to the internet,Removing all code review,Using only anonymous contributors,A,InnerSource brings open collaboration patterns to internal software development.
Explore the GitHub community,Open-source engagement,When should a fork be used?,When creating a personal copy of a repository to propose or experiment with changes,When deleting all repository history,When creating a billing account,When hiding public code from everyone,A,Forks allow independent changes and contribution back through pull requests.
Explore the GitHub community,Open-source engagement,When is a repository template useful?,When starting a new project from a reusable structure,When reporting a security vulnerability,When enabling two-factor authentication,When starring a repository,A,Templates help others start similar projects consistently.
Explore the GitHub community,Open-source engagement,What makes a repository more discoverable for collaboration?,"Clear README, topics, license, contribution guidelines, and public visibility when appropriate",No documentation and no license,Only binary files with no explanation,Disabling issues and pull requests permanently,A,Good metadata and documentation help people understand and contribute.
