Category,Skill,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation
Plan AI-powered business solutions,Design overall AI strategy for business solutions,When is creating a custom AI model more appropriate than using a prebuilt model?,"When requirements need specialized behavior, domain data, or performance not met by existing models",Only to change the UI color,Whenever a user asks a simple FAQ,When all answers are already in Microsoft 365 Chat,A,Custom models are justified when existing models do not meet specialized requirements.
Plan AI-powered business solutions,Design overall AI strategy for business solutions,A prompt library is being created for business users. What should it include?,Passwords embedded in prompts for convenience,"Reusable prompts with purpose, inputs, expected output, examples, and governance guidance",Unreviewed prompts that bypass policy,Only random successful prompts with no owner,B,"Prompt libraries should be reusable, governed, and understandable."
Plan AI-powered business solutions,Design overall AI strategy for business solutions,A business wants a small language model customized for a narrow product domain. What is the likely use case?,Replacing every enterprise system,Making all data public,Efficient specialized language tasks with domain-specific terminology and lower scope,Bypassing security policies,C,Customized small language models can support focused domain scenarios.
Plan AI-powered business solutions,Design overall AI strategy for business solutions,Which guideline improves prompt engineering for AI-powered business solutions?,Use vague one-word instructions,Remove all business context,Always ask for unsupported facts,"Define role, context, task, constraints, source references, and output format",D,Structured prompts improve consistency and quality.
Plan AI-powered business solutions,Design overall AI strategy for business solutions,What should a Microsoft AI Center of Excellence include?,"Governance, standards, adoption guidance, enablement, reusable patterns, and responsible AI practices",A single unmanaged chatbot,Only a list of favorite AI tools,No ownership or review process,A,A Center of Excellence helps scale AI safely and consistently.
Plan AI-powered business solutions,Design overall AI strategy for business solutions,"A solution spans Dynamics 365 Sales, Customer Service, and Finance. What must the architect design for?",No integration between apps,"Cross-app AI processes, data flow, security, and user experience",A manual copy-paste process only,Only one isolated app screen,B,"Multi-app solutions require interoperability, data design, and governance."
Plan AI-powered business solutions,Evaluate costs and benefits of an AI-powered business solution,Which ROI criterion belongs in an AI business case?,How many emails contain emojis,The color of the Copilot button,"Total cost of ownership, productivity gain, quality improvement, risk reduction, and adoption impact",Only the number of icons in the app,C,"AI ROI should compare costs, benefits, risks, and operational impact."
Plan AI-powered business solutions,Evaluate costs and benefits of an AI-powered business solution,An AI solution reduces average case handling time by 20%. What does this support?,A guarantee of zero hallucinations,A reason to publish private data,A reason to remove all human review,ROI analysis based on process efficiency improvement,D,Efficiency gains can be part of ROI analysis.
Plan AI-powered business solutions,Evaluate costs and benefits of an AI-powered business solution,A vendor offers a prebuilt agent that covers 90% of requirements. What decision should the architect analyze?,"Whether to build, buy, or extend AI components",Whether to avoid requirements review,Whether all agents must be custom coded,Whether to delete Dynamics 365,A,"Architects should evaluate build, buy, or extend options."
Plan AI-powered business solutions,Evaluate costs and benefits of an AI-powered business solution,A workload has simple classification requests and complex reasoning requests. What architecture can optimize cost and performance?,A manual spreadsheet queue only,A model router that sends each request to the most suitable model,A public anonymous chatbot,A single most expensive model for every request,B,Model routing can match tasks to suitable models for cost and quality.
Design AI-powered business solutions,Design AI and agents for business solutions,"A Dynamics 365 service agent must understand company-specific meanings for terms like escalation, premium case, and gold customer. What should be designed?",A browser bookmark list,A generic public dictionary only,Business terms for Copilot in Dynamics 365 apps,A Teams ringtone policy,C,Business terms help Copilot interpret organization-specific language.
Design AI-powered business solutions,Design AI and agents for business solutions,A customer service team wants Copilot responses customized to internal escalation policies. What should be designed?,A device compliance rule,A personal Outlook signature only,A public GitHub repository,Copilot customizations in Dynamics 365 customer experience and service apps,D,Copilot customizations align responses with business policies.
Design AI-powered business solutions,Design AI and agents for business solutions,Dynamics 365 Sales needs external product inventory data available to Copilot. What should be designed?,A connector for Copilot in Dynamics 365 Sales,A disconnected spreadsheet on a desktop,A manually updated PDF only,A private Teams emoji pack,A,Connectors can bring external data into AI-enabled workflows.
Design AI-powered business solutions,Design AI and agents for business solutions,"An AI agent must support chat, voice, and contact center handoff. What is being designed?",A PowerPoint slide master,Agent integration with Dynamics 365 Contact Center channels,A mailbox retention tag,A local-only script,B,Contact center integration requires channel and handoff design.
Design AI-powered business solutions,Design AI and agents for business solutions,Which agent type is best for completing repeatable steps such as collecting details and updating a case record?,A repository template,Prompt and response agent only,Task agent,A static web page,C,Task agents are suited for structured repeatable work.
Design AI-powered business solutions,Design AI and agents for business solutions,Which agent type is best for operating with more independence across a defined business workflow?,A read-only dashboard,A manual email checklist,A static FAQ document,Autonomous agent,D,Autonomous agents can act with more independence within boundaries.
Design AI-powered business solutions,Design AI and agents for business solutions,Which agent type is best for answering user questions using prompt and response patterns?,Prompt and response agent,Finance posting batch only,A manual approval queue,A database index,A,Prompt and response agents are suitable for conversational Q&A scenarios.
Design AI-powered business solutions,Design AI and agents for business solutions,"A requirement needs model evaluation, orchestration, and tooling for generative AI development. What should the architect propose?",Manual copy-paste between apps,Microsoft Foundry Tools,A Teams background image,Only a SharePoint list,B,"Foundry Tools support building, evaluating, and managing AI solutions."
Design AI-powered business solutions,Design AI and agents for business solutions,A model-driven app should include AI-generated summaries directly in the user experience. Which design option may apply?,Only exporting data to CSV manually,A separate paper form,Code-first generative pages and an agent feed,Disabling all embedded AI,C,Generative pages and agent feeds can embed AI into apps.
Design AI-powered business solutions,Design AI and agents for business solutions,A Copilot Studio topic cannot match a user's question. What should be designed?,A finance approval journal,A forced successful answer,A deleted knowledge source,Fallback behavior,D,Fallback handles unmatched or unexpected user input.
Design AI-powered business solutions,Design AI and agents for business solutions,"Grounding data contains PDFs, CRM records, and web data. What must be designed?","Data processing, normalization, indexing, and access control for AI grounding",A list of meeting attendees,Only a color theme,A public anonymous folder,A,Grounding requires data preparation and controlled access.
Design AI-powered business solutions,Design AI and agents for business solutions,A Power Apps canvas app should use AI to recommend next actions in a business process. What should the architect design?,Only the app icon,"How AI components fit into the app workflow, data, and user controls",No human review path,A disconnected chatbot outside the process,B,AI should be integrated into the business process and user experience.
Design AI-powered business solutions,Design AI and agents for business solutions,"Which framework helps assess reliability, security, operational excellence, performance, and cost for intelligent Power Platform workloads?",A personal design checklist only,A browser extension list,Microsoft Power Platform Well-Architected Framework,A meeting agenda template,C,The Well-Architected Framework guides architecture quality.
Design AI-powered business solutions,Design AI and agents for business solutions,A deterministic intent classifier is enough for routing support topics. Which option may be more appropriate than full generative orchestration?,A model router to the largest model only,No language processing,A custom generative model for every message,Standard NLP or conversational language understanding,D,Simpler NLP or CLU can fit classification and routing tasks.
Design AI-powered business solutions,Design AI and agents for business solutions,A user request requires reasoning across multiple knowledge sources and composing a new answer. Which approach is most appropriate?,Generative AI orchestration,A manual category field only,A static keyword-only FAQ,A disconnected Excel filter,A,Generative orchestration is useful for complex synthesis tasks.
Design AI-powered business solutions,Design AI and agents for business solutions,A Copilot Studio agent needs to call an existing approval process. What should be designed?,A public topic with no trigger,Agent flows and actions,Only a welcome message,A personal notebook,B,Agent flows and actions connect agents to business processes.
Design AI-powered business solutions,Design AI and agents for business solutions,A Copilot Studio prompt must call a defined reusable AI prompt to generate a summary. What should be designed?,A sensitivity label color only,A static branch name,Prompt actions,A contact center queue only,C,Prompt actions let agents use defined prompts as part of workflows.
Design AI-powered business solutions,Design extensibility of AI solutions,A business requires a domain-specific fraud model not covered by existing Copilot features. What should be considered?,Only Microsoft Teams status messages,A generic FAQ topic,A public prompt library only,Custom models in Microsoft Foundry,D,Foundry can support custom model design for specialized needs.
Design AI-powered business solutions,Design extensibility of AI solutions,A company wants an agent available inside Microsoft 365 Copilot for a business workflow. What should be designed?,Agents in Microsoft 365 Copilot,A private unmanaged chatbot,A paper-based approval process,A standalone spreadsheet macro only,A,Microsoft 365 Copilot agents can extend Copilot for business workflows.
Design AI-powered business solutions,Design extensibility of AI solutions,A Copilot Studio agent must connect to an external system using standardized context and tool interfaces. What extensibility approach may apply?,A Teams background,Model Context Protocol in Copilot Studio,A manual CSV export only,A plain text README only,B,Model Context Protocol can support standardized tool and context integration.
Design AI-powered business solutions,Design extensibility of AI solutions,An agent must interact with a legacy website where no API exists. What Copilot Studio capability may help?,A static PDF export,A repository star,Computer Use to automate tasks in apps and websites,A Teams meeting recap,C,Computer Use can help agents automate UI interactions where appropriate.
Design AI-powered business solutions,Design extensibility of AI solutions,An agent must use voice mode and reason through troubleshooting steps. What should be designed?,A static list of users,A finance journal name,Only the tenant logo,"Agent behaviors, including reasoning and voice mode",D,Agent behavior settings shape interaction modes and reasoning style.
Design AI-powered business solutions,Design extensibility of AI solutions,A team wants agents to improve work in Teams and SharePoint. What should be optimized?,Agent use within Microsoft 365 collaboration locations,Only local desktop shortcuts,Manual email forwarding,A disconnected database,A,"Microsoft 365 agents can support collaboration in Teams, SharePoint, and related apps."
Design AI-powered business solutions,Orchestrate configuration for prebuilt agents and apps,A finance department wants AI features across Dynamics 365 Finance and Supply Chain. What should be orchestrated?,GitHub repository topics,AI features in Dynamics 365 apps for finance and supply chain,Only Outlook signatures,Local desktop shortcuts,B,Finance and supply chain AI capabilities need coordinated configuration.
Design AI-powered business solutions,Orchestrate configuration for prebuilt agents and apps,A customer service department wants AI assistance for agents and case handling. What should be orchestrated?,Only a public FAQ website,A device naming policy,AI features in Dynamics 365 customer experience and service apps,A PowerPoint animation,C,Customer experience and service apps can include AI features for service workflows.
Design AI-powered business solutions,Orchestrate configuration for prebuilt agents and apps,A sales organization wants Microsoft 365 and CRM context in seller workflows. What should be configured?,A personal calendar color,Only a generic meeting bot,A local CSV file with no connector,Microsoft 365 Copilot for Sales,D,Copilot for Sales brings sales context into Microsoft 365 experiences.
Design AI-powered business solutions,Orchestrate configuration for prebuilt agents and apps,A service organization wants Microsoft 365 Copilot integrated with service workflows. What should be configured?,Microsoft 365 Copilot for Service,A SharePoint theme,Only GitHub Desktop,A public gist,A,Copilot for Service supports service scenarios in Microsoft 365 context.
Design AI-powered business solutions,Orchestrate configuration for prebuilt agents and apps,A Power Platform team wants to discover and apply AI capabilities from a central place. What should be proposed?,A manual paper checklist,Power Platform AI hub,A repository star list,A personal browser folder,B,AI hub helps discover and apply Power Platform AI features.
Design AI-powered business solutions,Orchestrate configuration for prebuilt agents and apps,Finance and operations users need agent chats to use extra policy documents. What should be designed?,No grounding data,A separate public chatbot with no security,Interoperability with additional knowledge sources,A local text file per user,C,Additional knowledge sources can improve in-app help and guidance.
Design AI-powered business solutions,Orchestrate configuration for prebuilt agents and apps,Dynamics 365 Finance users need AI help grounded in company procedures. What process should be recommended?,Paste confidential documents into public prompts,Use only generic model memory,Disable all help content,Add approved knowledge sources to in-app help and guidance,D,Approved knowledge sources improve relevant in-app guidance.
Deploy AI-powered business solutions,"Analyze, monitor, and tune AI-powered business solutions",An agent is live and users complain that answers are incomplete. What should be analyzed?,"Telemetry, conversation logs, user feedback, and grounding quality",Only the app logo,The user's wallpaper,The number of desktop shortcuts,A,Monitoring and feedback reveal issues for tuning.
Deploy AI-powered business solutions,"Analyze, monitor, and tune AI-powered business solutions",Which metric helps evaluate an agent's effectiveness?,Number of emojis in the response,"Resolution rate, escalation rate, accuracy, latency, and user satisfaction",Keyboard language,Monitor brightness,B,"Agent metrics should reflect quality, performance, and business outcomes."
Deploy AI-powered business solutions,"Analyze, monitor, and tune AI-powered business solutions",A backlog shows many requests the agent cannot answer. What should the team do?,Ignore the backlog after deployment,Delete all telemetry,"Analyze backlog and user feedback to improve topics, knowledge, or flows",Increase response creativity without review,C,User feedback and backlog analysis guide agent improvement.
Deploy AI-powered business solutions,"Analyze, monitor, and tune AI-powered business solutions",Telemetry shows high latency when complex prompts use the largest model. What tuning option may help?,Remove all access controls,Use the largest model for every task,Disable all monitoring,Route simpler requests to smaller or faster models,D,Telemetry can guide model routing and performance optimization.
Deploy AI-powered business solutions,"Analyze, monitor, and tune AI-powered business solutions",An AI-based diagnostic tool identifies repeated fallback topic usage. What should this trigger?,"Review and tune topic coverage, grounding, and user intent handling",Publish every failed answer,Disable the agent,Remove all fallback handling,A,Repeated fallback usage suggests gaps in agent design.
Deploy AI-powered business solutions,"Analyze, monitor, and tune AI-powered business solutions",Why interpret telemetry data after deployment?,To remove audit records,"To tune performance, cost, grounding, model behavior, and user experience",To avoid testing,To bypass security,B,Telemetry supports operational tuning.
Deploy AI-powered business solutions,Manage the testing of AI-powered business solutions,What should agent testing include?,Only UI color testing,Only one happy path prompt,"Functional accuracy, safety, grounding, latency, escalation, and edge cases",No human validation,C,"Agent testing should cover quality, safety, performance, and failure scenarios."
Deploy AI-powered business solutions,Manage the testing of AI-powered business solutions,A custom AI model is ready for production. What validation criteria should be defined?,Only model name length,Only the developer's opinion,Only the color of the dashboard,"Accuracy, precision, recall, bias, robustness, security, and business acceptance",D,Custom models need measurable validation criteria.
Deploy AI-powered business solutions,Manage the testing of AI-powered business solutions,How should Copilot prompt best practices be validated?,"Test prompts against representative tasks, outputs, citations, and review criteria",Avoid checking sources,Test only with one generic question,Assume every saved prompt is valid forever,A,Prompt validation checks quality and reliability.
Deploy AI-powered business solutions,Manage the testing of AI-powered business solutions,"An AI solution spans Sales, Customer Service, and Finance. What testing approach is needed?",Only a single isolated screen test,End-to-end scenarios across all involved Dynamics 365 apps,Only a login test,No integration testing,B,Cross-app solutions require end-to-end validation.
Deploy AI-powered business solutions,Manage the testing of AI-powered business solutions,A team wants Copilot to help create test cases. What should they provide?,No process context,An unrelated picture,"Requirements, personas, business rules, risk areas, and acceptance criteria",Only the word test,C,Copilot can assist with test case creation when given structured context.
Deploy AI-powered business solutions,Manage the testing of AI-powered business solutions,What is a good test case for prompt manipulation risk?,A request to change font size,Only a normal greeting,A dashboard color test,A prompt attempting to override instructions or expose restricted data,D,Security testing should include adversarial prompts.
Deploy AI-powered business solutions,Design the ALM process for AI-powered business solutions,Why does grounding data need ALM?,"Because changes to data sources, schemas, and indexes can affect AI behavior",Because models ignore data quality,Because data never changes,Because ALM applies only to UI themes,A,AI behavior depends on the lifecycle of its grounding data.
Deploy AI-powered business solutions,Design the ALM process for AI-powered business solutions,"Copilot Studio agents, connectors, and actions must move from dev to test to production. What should be designed?",A manual screenshot archive only,"ALM process with environments, versioning, validation, and deployment controls",A personal OneDrive folder,No release process,B,AI components require controlled lifecycle management.
Deploy AI-powered business solutions,Design the ALM process for AI-powered business solutions,A Foundry Agent service configuration changes frequently. What should ALM include?,Only a chat transcript,A local unmanaged backup,"Version control, testing, deployment stages, rollback, and monitoring",A public prompt with secrets,C,Foundry agents need lifecycle controls like other solution components.
Deploy AI-powered business solutions,Design the ALM process for AI-powered business solutions,A custom model is retrained monthly. What should the ALM process track?,Only the name of the developer,Only the model's display color,Only one final output sample,"Training data versions, model versions, evaluation results, approvals, and deployment history",D,"Custom model ALM must track data, model, evaluation, and approvals."
Deploy AI-powered business solutions,Design the ALM process for AI-powered business solutions,AI features in Dynamics 365 Finance are updated with new policy grounding. What should be included in ALM?,"Environment promotion, testing, data validation, approvals, and rollback plans",A direct production edit with no test,Only a Teams message,Deletion of audit history,A,Business app AI features need controlled release processes.
Deploy AI-powered business solutions,Design the ALM process for AI-powered business solutions,Why should connectors and actions be part of ALM?,They only affect icons,"They affect agent behavior, integrations, security, and business process execution",They cannot change outcomes,They are never deployed,B,Connectors and actions can materially affect solution behavior and risk.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",An agent can access confidential sales data. What security design is required?,Shared admin credentials,No logging,"Least privilege, identity controls, data permissions, and auditing",Public anonymous access,C,Agent security should enforce controlled access and traceability.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",What should governance for agents define?,No usage policy,Only greeting text,Only agent avatar color,"Ownership, approval, lifecycle, allowed capabilities, monitoring, and escalation",D,Governance defines how agents are controlled and managed.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",What is model security concerned with?,"Protecting model access, inputs, outputs, training data, configuration, and endpoints",Only UI fonts,Only profile pictures,Only dashboard layout,A,Model security covers the full model interaction surface.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",A malicious user asks an agent to ignore previous rules and reveal restricted data. What vulnerability is being tested?,A dashboard refresh,Prompt manipulation,A license renewal,Normal user onboarding,B,Prompt manipulation attempts to override controls or extract restricted content.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance","A responsible AI review asks whether the solution is fair, reliable, safe, private, inclusive, transparent, and accountable. What is being reviewed?",The keyboard layout,The number of app icons,Adherence to responsible AI principles,The monitor refresh rate,C,Responsible AI reviews evaluate ethical and safety principles.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",A solution processes EU customer data in a different region. What must be validated?,Only prompt wording,Only agent greeting style,Only test case names,Data residency and data movement compliance,D,Data residency and movement can be compliance requirements.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",A model tuning dataset includes sensitive customer records. What must be designed?,Access controls on grounding data and model tuning data,Public sharing for faster training,No retention policy,Untracked manual exports,A,Sensitive tuning and grounding data require strict access controls.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",Why design audit trails for changes to models and data?,To increase response creativity,"To trace who changed what, when, why, and with what approval",To hide risky changes,To avoid compliance reviews,B,Audit trails support accountability and compliance.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",A prompt library contains prompts that request sensitive data unnecessarily. What governance action is appropriate?,Disable all prompt ownership,Share all prompts publicly,"Review, revise, restrict, or remove risky prompts",Ignore the issue because prompts are not code,C,Prompt libraries need governance to reduce privacy and security risk.
Deploy AI-powered business solutions,"Responsible AI, security, governance, risk management, and compliance",A deployed agent starts giving confident but unsupported recommendations. What mitigation is appropriate?,Increase autonomy without controls,Remove all monitoring,Disable user feedback,"Improve grounding, add citations or review steps, and tune behavior",D,Unsupported outputs require grounding and review improvements.
